Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
3D_1	(1.0, 0.5657949917192064)	(2.0, 0.2956918549688315)	(3.0, 0.25375478899969434)	(4.0, 0.1904937911818434)	(5.0, 0.1741454434311628)	(6.0, 0.17485624115945325)	(7.0, 0.179121027529196)	(8.0, 0.10804125470014998)	(9.0, 0.12794359109228287)	('>10', 2.0869021302607917)	('>50', 1.479170072572448)	('>100', 2.405339512534918)	('>500', 1.8160881957821264)	('>1k', 0.7761911192931827)	('>5k', 0.0)	('>10k+', 89.3664659847747)
3D_2	(1.0, 0.6852090100720039)	(2.0, 0.2388280367055947)	(3.0, 0.17698863434432463)	(4.0, 0.14500273657125393)	(5.0, 0.1386055570166398)	(6.0, 0.09809008650408352)	(7.0, 0.1741454434311628)	(8.0, 0.12510040017912102)	(9.0, 0.07036897510075558)	('>10', 1.6867230092332623)	('>50', 0.6503799213857712)	('>100', 0.9688173036598975)	('>500', 0.4776560734111894)	('>1k', 1.6803258296786483)	('>5k', 5.396376353181175)	('>10k+', 87.28738262952511)
3Q_1	(1.0, 0.5791900782221383)	(2.0, 0.322646646835702)	(3.0, 0.26205203267387506)	(4.0, 0.22663959582605414)	(5.0, 0.20067047547098543)	(6.0, 0.09915482317389868)	(7.0, 0.17076663991060329)	(8.0, 0.13220643089853157)	(9.0, 0.21247462108692572)	('>10', 1.9854572926011615)	('>50', 1.5211608983741756)	('>100', 2.677967168736327)	('>500', 1.0403387002848734)	('>1k', 1.2071706249901633)	('>5k', 0.0)	('>10k+', 89.36210397091459)
3Q_2	(1.0, 0.7491697750916788)	(2.0, 0.22349182366180337)	(3.0, 0.17234052599272864)	(4.0, 0.17942301336229285)	(5.0, 0.13378031698065695)	(6.0, 0.13220643089853157)	(7.0, 0.09364622188645985)	(8.0, 0.11331979791302707)	(9.0, 0.12748477265215544)	('>10', 1.482600689362104)	('>50', 0.4076364952704723)	('>100', 1.4849615184852922)	('>500', 0.0)	('>1k', 5.92882887136629)	('>5k', 0.0)	('>10k+', 88.77110974707651)
3Z_1	(1.0, 0.4257745675727048)	(2.0, 0.23873788253183803)	(3.0, 0.20300323132484316)	(4.0, 0.23417601216498765)	(5.0, 0.18247481467401633)	(6.0, 0.17791294430716595)	(7.0, 0.1649876449344231)	(8.0, 0.08515491351454095)	(9.0, 0.11632769435468542)	('>10', 1.9950579737692455)	('>50', 1.280364949629348)	('>100', 2.4177912944307165)	('>500', 0.9853639992396882)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 91.4928720775518)
3Z_2	(1.0, 0.6226953050750808)	(2.0, 0.22201102452005322)	(3.0, 0.15054172210606348)	(4.0, 0.1490210986504467)	(5.0, 0.11784831781030222)	(6.0, 0.13229424063866185)	(7.0, 0.1064436418931762)	(8.0, 0.12773237027181145)	(9.0, 0.08895647215358297)	('>10', 1.4483938414750046)	('>50', 0.4425014255844896)	('>100', 0.9085725147310397)	('>500', 0.0)	('>1k', 0.9838433757840714)	('>5k', 5.266679338528797)	('>10k+', 89.23246531077741)
4D_1	(1.0, 0.6846794297578623)	(2.0, 0.3472005221895854)	(3.0, 0.2687332041747391)	(4.0, 0.1944322924261678)	(5.0, 0.19790429764806367)	(6.0, 0.16248984438472597)	(7.0, 0.16526744856224265)	(8.0, 0.1444354172308675)	(9.0, 0.16248984438472597)	('>10', 1.9783485754362575)	('>50', 1.4637974015512918)	('>100', 2.8907915477504877)	('>500', 1.899186856377032)	('>1k', 2.184585685616871)	('>5k', 0.0)	('>10k+', 87.25565763250907)
4D_2	(1.0, 0.7527307321070211)	(2.0, 0.24581796971022643)	(3.0, 0.1895714851155136)	(4.0, 0.15276822976341756)	(5.0, 0.1492962245415217)	(6.0, 0.14165781305335085)	(7.0, 0.09235533890242971)	(8.0, 0.1611010422959676)	(9.0, 0.06249609399412537)	('>10', 1.6221208396697429)	('>50', 0.40483580887305654)	('>100', 1.6172600323590887)	('>500', 0.6124617211424286)	('>1k', 3.3477074349519818)	('>5k', 5.682978147199133)	('>10k+', 84.764841086321)
4Q_1	(1.0, 0.889625786668093)	(2.0, 0.41539640940614364)	(3.0, 0.34497512969995187)	(4.0, 0.28881638765577367)	(5.0, 0.19165284983330658)	(6.0, 0.19254425843718245)	(7.0, 0.14351678522401098)	(8.0, 0.1854129896061757)	(9.0, 0.10429480665347382)	('>10', 2.307856875434562)	('>50', 1.44586475548662)	('>100', 3.528195254140593)	('>500', 0.5348451623255068)	('>1k', 5.1567987734217615)	('>5k', 0.0)	('>10k+', 84.27020377600685)
4Q_2	(1.0, 0.8958656468952239)	(2.0, 0.33873526947282095)	(3.0, 0.2593999037278708)	(4.0, 0.19254425843718245)	(5.0, 0.18719580681392736)	(6.0, 0.15510509707439696)	(7.0, 0.23087482840384374)	(8.0, 0.1497566454511419)	(9.0, 0.12034016152323902)	('>10', 1.2987823358471056)	('>50', 0.6213117969014637)	('>100', 1.7917312937904477)	('>500', 1.4806296910377779)	('>1k', 9.215382146868482)	('>5k', 0.0)	('>10k+', 83.06234511775507)
4Z_1	(1.0, 0.5119191297374794)	(2.0, 0.2559595648687397)	(3.0, 0.22841961168666014)	(4.0, 0.18467968604453372)	(5.0, 0.14984974525543307)	(6.0, 0.19925966125857586)	(7.0, 0.17009971083049158)	(8.0, 0.07775986780822472)	(9.0, 0.1166398017123371)	('>10', 1.8516568521833514)	('>50', 1.6143272556436654)	('>100', 2.1059964198060865)	('>500', 1.4393675530751597)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 91.09406514008927)
4Z_2	(1.0, 0.6739188543379476)	(2.0, 0.19115967502855244)	(3.0, 0.19925966125857586)	(4.0, 0.19115967502855244)	(5.0, 0.10934981410531602)	(6.0, 0.17981969430651967)	(7.0, 0.03401994216609831)	(8.0, 0.0971998347602809)	(9.0, 0.1166398017123371)	('>10', 1.4579975214042136)	('>50', 0.4349692605522571)	('>100', 0.7856986643122706)	('>500', 1.1728780061073896)	('>1k', 0.0)	('>5k', 5.388920838834574)	('>10k+', 88.96700875608512)
PBSD_1	(1.0, 1.4488570768875548)	(2.0, 1.454629415839298)	(3.0, 0.7792657584853382)	(4.0, 0.5541445393673516)	(5.0, 0.2886169475871623)	(6.0, 0.4848764719464327)	(7.0, 0.2828446086354191)	(8.0, 0.1385361348418379)	(9.0, 0.15585315169706765)	('>10', 3.5211267605633805)	('>50', 1.6855229739090278)	('>100', 3.8501500808127456)	('>500', 3.728930962826137)	('>1k', 12.739552066497344)	('>5k', 0.0)	('>10k+', 68.8870930501039)
PBSD_2	(1.0, 1.5412145001154467)	(2.0, 0.9235742322789194)	(3.0, 0.5714615562225813)	(4.0, 0.5079658277534056)	(5.0, 0.43292542138074347)	(6.0, 0.20780420226275687)	(7.0, 0.2020318633110136)	(8.0, 0.1385361348418379)	(9.0, 0.15585315169706765)	('>10', 2.4070653428769337)	('>50', 0.5310551835603787)	('>100', 4.190718078965597)	('>500', 3.728930962826137)	('>1k', 12.751096744400831)	('>5k', 0.0)	('>10k+', 71.70976679750635)
PBSQ_1	(1.0, 5.222602739726027)	(2.0, 4.10958904109589)	(3.0, 1.9263698630136987)	(4.0, 1.7123287671232876)	(5.0, 0.9631849315068494)	(6.0, 0.7705479452054794)	(7.0, 0.14982876712328766)	(8.0, 0.3424657534246575)	(9.0, 0.3852739726027397)	('>10', 6.035958904109589)	('>50', 6.549657534246575)	('>100', 21.06164383561644)	('>500', 16.673801369863014)	('>1k', 34.096746575342465)	('>5k', 0.0)	('>10k+', 0.0)
PBSQ_2	(1.0, 3.3818493150684934)	(2.0, 3.0821917808219177)	(3.0, 1.2200342465753424)	(4.0, 0.5993150684931506)	(5.0, 0.21404109589041095)	(6.0, 0.2568493150684931)	(7.0, 0.2996575342465753)	(8.0, 0.17123287671232876)	(9.0, 0.19263698630136986)	('>10', 3.2534246575342465)	('>50', 6.142979452054795)	('>100', 25.34246575342466)	('>500', 16.60958904109589)	('>1k', 39.23373287671233)	('>5k', 0.0)	('>10k+', 0.0)
PBSZ_1	(1.0, 0.6976781145209223)	(2.0, 0.5435214468477345)	(3.0, 0.3575798992419306)	(4.0, 0.2733499674204981)	(5.0, 0.20660171956200435)	(6.0, 0.2002447435754811)	(7.0, 0.14462120369340303)	(8.0, 0.13985347170351062)	(9.0, 0.14303195969677224)	('>10', 2.353670359010219)	('>50', 1.361982105112598)	('>100', 1.7513468842871447)	('>500', 5.093527009201723)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 86.73299111612606)
PBSZ_2	(1.0, 0.8232283902547557)	(2.0, 0.38141855919139267)	(3.0, 0.24792206347440524)	(4.0, 0.20978020755526597)	(5.0, 0.19070927959569633)	(6.0, 0.1811738156159115)	(7.0, 0.01112470797641562)	(8.0, 0.13985347170351062)	(9.0, 0.042909587909031675)	('>10', 1.6321535845398343)	('>50', 0.45134529504314796)	('>100', 1.854647744068147)	('>500', 3.7204201961127095)	('>1k', 1.732275956327575)	('>5k', 0.0)	('>10k+', 88.3810371406322)
ST1D_1	(1.0, 0.6181525781485576)	(2.0, 0.28574300360409516)	(3.0, 0.23907643266372786)	(4.0, 0.20389701764714327)	(5.0, 0.16153813017819452)	(6.0, 0.15507660497106673)	(7.0, 0.15579455221630314)	(8.0, 0.17805091681863217)	(9.0, 0.13569202934968339)	('>10', 2.616917708886751)	('>50', 1.6484068750628202)	('>100', 2.011688181152449)	('>500', 1.64050945536522)	('>1k', 1.310971669801703)	('>5k', 0.0)	('>10k+', 88.63848484413366)
ST1D_2	(1.0, 0.6612294128627428)	(2.0, 0.2225636460232902)	(3.0, 0.19599959794954266)	(4.0, 0.1866662837614692)	(5.0, 0.1507689214996482)	(6.0, 0.14215355455681117)	(7.0, 0.12061513719971856)	(8.0, 0.09189724739026177)	(9.0, 0.13569202934968339)	('>10', 1.93127808968597)	('>50', 0.5571270623034619)	('>100', 1.2054334247519494)	('>500', 0.4637939204227274)	('>1k', 2.1495340522378417)	('>5k', 3.9982482087216233)	('>10k+', 87.78699941128326)
ST1Q_1	(1.0, 0.5696025678686832)	(2.0, 0.2436036139312608)	(3.0, 0.20204770331945748)	(4.0, 0.2149443652334654)	(5.0, 0.17195549218677234)	(6.0, 0.18055326679611094)	(7.0, 0.15046105566342577)	(8.0, 0.09744144557250431)	(9.0, 0.16120827392509907)	('>10', 2.614439962456384)	('>50', 1.548315910898396)	('>100', 2.670325497417085)	('>500', 1.0317329531206338)	('>1k', 0.9844451927692714)	('>5k', 0.0)	('>10k+', 89.15892269884145)
ST1Q_2	(1.0, 0.6047101475234826)	(2.0, 0.2249751022776938)	(3.0, 0.1977488160147882)	(4.0, 0.16049179270765415)	(5.0, 0.12896661914007923)	(6.0, 0.14616216835875648)	(7.0, 0.130399581574969)	(8.0, 0.08597774609338617)	(9.0, 0.1354149500970832)	('>10', 1.8599852404869208)	('>50', 0.43418761777160014)	('>100', 1.1606995722607132)	('>500', 0.6412506896131718)	('>1k', 1.9631585357989838)	('>5k', 3.590287380616317)	('>10k+', 88.5355840396644)
ST1Z_1	(1.0, 0.5240688944501694)	(2.0, 0.2693949654055645)	(3.0, 0.17002796996908584)	(4.0, 0.18842926542028557)	(5.0, 0.1656116590607979)	(6.0, 0.1722361254232298)	(7.0, 0.19578978360076552)	(8.0, 0.15309877815398204)	(9.0, 0.11261592816134255)	('>10', 2.6313852495215664)	('>50', 1.3955542470189901)	('>100', 2.2869129986751067)	('>500', 1.3109082879434713)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.42396584719565)
ST1Z_2	(1.0, 0.6447813926100397)	(2.0, 0.22081554541439719)	(3.0, 0.2097747681436773)	(4.0, 0.15898719269836598)	(5.0, 0.15825114088031797)	(6.0, 0.09274252907404681)	(7.0, 0.15457088179007802)	(8.0, 0.13543353452083026)	(9.0, 0.11924039452377447)	('>10', 1.9586338878257028)	('>50', 0.3724422199322832)	('>100', 1.0709553952598263)	('>500', 0.5100839099072575)	('>1k', 0.9517150007360519)	('>5k', 3.817164728396879)	('>10k+', 89.42440747828647)
ST2D_1	(1.0, 0.5742655483104429)	(2.0, 0.30976392876844083)	(3.0, 0.19731537928400683)	(4.0, 0.16124697661918838)	(5.0, 0.17680589541577674)	(6.0, 0.14851695214925248)	(7.0, 0.18812147272238647)	(8.0, 0.13578692767931655)	(9.0, 0.1209352324643913)	('>10', 2.5806588494886773)	('>50', 1.705823278971414)	('>100', 2.003564406851582)	('>500', 1.6202492255901781)	('>1k', 1.0396186650447674)	('>5k', 0.0)	('>10k+', 89.03732726064018)
ST2D_2	(1.0, 0.6428662357317643)	(2.0, 0.22772599329552046)	(3.0, 0.1527602936392311)	(4.0, 0.15841808229253598)	(5.0, 0.16619754169083015)	(6.0, 0.1315435861893379)	(7.0, 0.13861582200596897)	(8.0, 0.1527602936392311)	(9.0, 0.10820520799445536)	('>10', 1.7560361532694948)	('>50', 0.5565849587688652)	('>100', 1.1619683446724847)	('>500', 1.1273143891709925)	('>1k', 1.1322649542426342)	('>5k', 4.553105418747083)	('>10k+', 87.83363272464956)
ST2Q_1	(1.0, 0.6578947368421052)	(2.0, 0.3081885539090444)	(3.0, 0.25150102197240676)	(4.0, 0.21078180889115994)	(5.0, 0.20758814512008175)	(6.0, 0.2012008175779254)	(7.0, 0.16766734798160451)	(8.0, 0.07664793050587634)	(9.0, 0.14371486969851816)	('>10', 2.710622125702606)	('>50', 1.606412876852325)	('>100', 2.2970426673479816)	('>500', 1.5704841594276955)	('>1k', 1.3125958099131323)	('>5k', 0.0)	('>10k+', 88.27765712825753)
ST2Q_2	(1.0, 0.6562979049565661)	(2.0, 0.25868676545733266)	(3.0, 0.18682933060807358)	(4.0, 0.1660705160960654)	(5.0, 0.18762774655084313)	(6.0, 0.14850536535513542)	(7.0, 0.08942258559018906)	(8.0, 0.12135922330097086)	(9.0, 0.13652912621359223)	('>10', 1.9816683699540112)	('>50', 0.556495912110373)	('>100', 1.042731221257026)	('>500', 0.6874361267245784)	('>1k', 5.5513860500766485)	('>5k', 0.0)	('>10k+', 88.22895375574859)
ST2Z_1	(1.0, 0.5534192269573835)	(2.0, 0.2410307234886026)	(3.0, 0.21407333994053518)	(4.0, 0.15857284440039643)	(5.0, 0.19425173439048563)	(6.0, 0.19028741328047571)	(7.0, 0.16650148662041625)	(8.0, 0.13320118929633298)	(9.0, 0.09990089197224976)	('>10', 2.493557978196234)	('>50', 1.6705649157581763)	('>100', 2.6560951437066405)	('>500', 0.9514370664023787)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.27710604558969)
ST2Z_2	(1.0, 0.5914767096134788)	(2.0, 0.18711595639246778)	(3.0, 0.16174430128840436)	(4.0, 0.19345887016848365)	(5.0, 0.13875123885034688)	(6.0, 0.10941526263627355)	(7.0, 0.12765113974231912)	(8.0, 0.12685827552031714)	(9.0, 0.07849355797819622)	('>10', 1.7847373637264619)	('>50', 0.5177403369672944)	('>100', 1.5984142715559961)	('>500', 0.7341922695738354)	('>1k', 3.30782953419227)	('>5k', 0.0)	('>10k+', 90.34212091179386)
ST3D_1	(1.0, 0.6115838815458587)	(2.0, 0.2588501954788393)	(3.0, 0.187096384815016)	(4.0, 0.23604991919313847)	(5.0, 0.17100207214275656)	(6.0, 0.1810610175629187)	(7.0, 0.1314368868234521)	(8.0, 0.10729541781506294)	(9.0, 0.10863661053775121)	('>10', 2.420182268091013)	('>50', 1.6872204451418646)	('>100', 2.8460109575445443)	('>500', 0.7778917791592063)	('>1k', 1.090389683545577)	('>5k', 0.0)	('>10k+', 89.185292480603)
ST3D_2	(1.0, 0.5787246598399958)	(2.0, 0.18374340300829528)	(3.0, 0.15691954855452953)	(4.0, 0.19581413751248986)	(5.0, 0.1609431267225944)	(6.0, 0.10863661053775121)	(7.0, 0.11735436323522508)	(8.0, 0.09656587603355664)	(9.0, 0.10863661053775121)	('>10', 1.8991288953266139)	('>50', 0.4734410311089652)	('>100', 1.5564541546797566)	('>500', 0.0)	('>1k', 1.9702121096290932)	('>5k', 4.821587838064391)	('>10k+', 87.571837635209)
ST3Q_1	(1.0, 0.6190586425515073)	(2.0, 0.32110400035844167)	(3.0, 0.23970787003502275)	(4.0, 0.18519486532300822)	(5.0, 0.16055200017922083)	(6.0, 0.14337666992749024)	(7.0, 0.08886366521547573)	(8.0, 0.16129875366842653)	(9.0, 0.16129875366842653)	('>10', 2.6031826633709945)	('>50', 1.785487592690777)	('>100', 2.6711372308887116)	('>500', 0.9924353871543464)	('>1k', 1.2694809316496531)	('>5k', 0.0)	('>10k+', 88.59782097331849)
ST3Q_2	(1.0, 0.6332469588464151)	(2.0, 0.2583767072651647)	(3.0, 0.20386370255315017)	(4.0, 0.16727278158207196)	(5.0, 0.15308446528716407)	(6.0, 0.15233771179795838)	(7.0, 0.12545458618655395)	(8.0, 0.12545458618655395)	(9.0, 0.09409093963991547)	('>10', 1.9019811370068627)	('>50', 0.40548714463868335)	('>100', 1.202273117621142)	('>500', 0.5914287634508972)	('>1k', 5.649936899330163)	('>5k', 0.0)	('>10k+', 88.3357104986073)
ST3Z_1	(1.0, 0.46507392398805764)	(2.0, 0.245871249325155)	(3.0, 0.16976824358165463)	(4.0, 0.16131235405459904)	(5.0, 0.15610872973025713)	(6.0, 0.0975679560814107)	(7.0, 0.1229356246625775)	(8.0, 0.15610872973025713)	(9.0, 0.13464377939234679)	('>10', 2.3643968023728528)	('>50', 1.5942604023702507)	('>100', 1.8563929777089743)	('>500', 1.991036757101321)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.48452246990028)
