Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ST3Z_2	(1.0, 0.5294687750017888)	(2.0, 0.18863138175739402)	(3.0, 0.1522060114870007)	(4.0, 0.16391416621677)	(5.0, 0.10732475168955177)	(6.0, 0.10147067432466712)	(7.0, 0.09561659695978249)	(8.0, 0.13529423243288952)	(9.0, 0.12878970202746212)	('>10', 1.872003850682)	('>50', 0.3889709182445573)	('>100', 0.9652723121654232)	('>500', 0.7434678253403495)	('>1k', 0.6582584770292509)	('>5k', 3.4890301094712464)	('>10k+', 90.28028021516987)
ST4D_1	(1.0, 0.5326606826967175)	(2.0, 0.26862346851863983)	(3.0, 0.22210574592150956)	(4.0, 0.16510515626023717)	(5.0, 0.16051890191967502)	(6.0, 0.12972547991875777)	(7.0, 0.1146563585140536)	(8.0, 0.1415187053659176)	(9.0, 0.10024241630085828)	('>10', 2.4353010548384986)	('>50', 1.8135360020965736)	('>100', 2.211884950533971)	('>500', 1.1609775273537313)	('>1k', 0.7678700124484047)	('>5k', 0.0)	('>10k+', 89.77527353731244)
ST4D_2	(1.0, 0.5844198388259189)	(2.0, 0.20310554936775208)	(3.0, 0.1375876302168643)	(4.0, 0.16772587302627268)	(5.0, 0.17689838170739697)	(6.0, 0.11400117932254472)	(7.0, 0.16510515626023717)	(8.0, 0.07862150298106532)	(9.0, 0.09434580357727838)	('>10', 1.9098473432483782)	('>50', 0.65386883312586)	('>100', 1.1688396776518377)	('>500', 0.0)	('>1k', 1.5422918168118982)	('>5k', 4.85684334665531)	('>10k+', 88.14649806722139)
ST4Q_1	(1.0, 0.5424403595533576)	(2.0, 0.2674877919815869)	(3.0, 0.17728842026686573)	(4.0, 0.16173680445398275)	(5.0, 0.19284003607974867)	(6.0, 0.16049267518895213)	(7.0, 0.13498802525582407)	(8.0, 0.17915461416441167)	(9.0, 0.07838014369693011)	('>10', 2.440981617990109)	('>50', 1.3896923890392212)	('>100', 2.8048894280115704)	('>500', 1.1489533762557929)	('>1k', 0.9442941121582532)	('>5k', 0.0)	('>10k+', 89.37638020590339)
ST4Q_2	(1.0, 0.5617243631613325)	(2.0, 0.1891076482846568)	(3.0, 0.17915461416441167)	(4.0, 0.17168983857422784)	(5.0, 0.10886131069018071)	(6.0, 0.11943640944294112)	(7.0, 0.1654691922490747)	(8.0, 0.1293894435631862)	(9.0, 0.10637305216011944)	('>10', 1.8612173804858325)	('>50', 0.47650150850673384)	('>100', 1.2347982955429069)	('>500', 0.3950110416472271)	('>1k', 1.6957481882367578)	('>5k', 3.554477310192529)	('>10k+', 89.05104040309789)
ST4Z_1	(1.0, 0.4377307180811412)	(2.0, 0.203956274637262)	(3.0, 0.16638538194092423)	(4.0, 0.2051490013895267)	(5.0, 0.1550544777944097)	(6.0, 0.16101811155573312)	(7.0, 0.10436359082316037)	(8.0, 0.1526690242898803)	(9.0, 0.08587632616305767)	('>10', 2.5041298163797165)	('>50', 0.9297305033903257)	('>100', 2.427198940858644)	('>500', 2.0079554874376053)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.45878234525861)
ST4Z_2	(1.0, 0.5605815735644042)	(2.0, 0.16936719882158596)	(3.0, 0.10555631757542507)	(4.0, 0.12642903574005712)	(5.0, 0.14014539339110105)	(6.0, 0.16101811155573312)	(7.0, 0.10018904719023396)	(8.0, 0.10495995419929272)	(9.0, 0.1180799484742043)	('>10', 1.7670246834801382)	('>50', 0.4007561887609358)	('>100', 1.2964939797117179)	('>500', 0.3572216623032747)	('>1k', 0.9851922973706339)	('>5k', 3.2680713012052505)	('>10k+', 90.33891330665601)
STD_1	(1.0, 0.7930174205005427)	(2.0, 0.3652337711824803)	(3.0, 0.28039600543536874)	(4.0, 0.24732365607632525)	(5.0, 0.19052549087275056)	(6.0, 0.16392381856221555)	(7.0, 0.09058947867911914)	(8.0, 0.13228939743617396)	(9.0, 0.08411880163061061)	('>10', 2.641474164024473)	('>50', 2.1561733853863356)	('>100', 4.3504518689472205)	('>500', 2.2748024646089915)	('>1k', 8.024358504267052)	('>5k', 0.0)	('>10k+', 78.20532177239033)
STD_2	(1.0, 0.8713845091991459)	(2.0, 0.29046150306638197)	(3.0, 0.25019951254232903)	(4.0, 0.19555823968825714)	(5.0, 0.14738764388269382)	(6.0, 0.15098246446519853)	(7.0, 0.1409169668341853)	(8.0, 0.13228939743617396)	(9.0, 0.11647218687315317)	('>10', 2.186369878279375)	('>50', 0.8907965403446714)	('>100', 3.8543666285615688)	('>500', 4.833595755235856)	('>1k', 7.510299160968876)	('>5k', 5.582756364629842)	('>10k+', 72.8461632479923)
STQ_1	(1.0, 0.7878312472289486)	(2.0, 0.45564612393847415)	(3.0, 0.3274103884587838)	(4.0, 0.26192831076702705)	(5.0, 0.23873674158452987)	(6.0, 0.1841683435080659)	(7.0, 0.21963780225776747)	(8.0, 0.1909893932676239)	(9.0, 0.10436206132123733)	('>10', 2.6745336107226905)	('>50', 1.5354183008765048)	('>100', 2.429657924354558)	('>500', 1.1807237133794892)	('>1k', 14.476996009685891)	('>5k', 8.932164660141195)	('>10k+', 65.99979536850721)
STQ_2	(1.0, 0.8833259438627604)	(2.0, 0.4147198253811262)	(3.0, 0.2803451451178336)	(4.0, 0.22373043211350224)	(5.0, 0.2080420176665189)	(6.0, 0.1677978240851267)	(7.0, 0.13846731011902733)	(8.0, 0.12550731557586714)	(9.0, 0.1718904539408615)	('>10', 1.657515091572593)	('>50', 0.5245387265100099)	('>100', 2.279594829644282)	('>500', 2.3212032331775863)	('>1k', 11.271784727669589)	('>5k', 7.6095631117629)	('>10k+', 71.72197401180041)
STZ_1	(1.0, 0.7563062861239302)	(2.0, 0.44804874770375014)	(3.0, 0.3467897307227026)	(4.0, 0.2329853488059501)	(5.0, 0.19714144898965008)	(6.0, 0.22581656884269008)	(7.0, 0.18190779156772258)	(8.0, 0.10036291948564004)	(9.0, 0.13710291679734757)	('>10', 2.867511985304001)	('>50', 1.1183296742685604)	('>100', 3.185626596173664)	('>500', 2.285048613289126)	('>1k', 2.3056588556834985)	('>5k', 11.878668399121825)	('>10k+', 73.73269411711995)
STZ_2	(1.0, 0.9122272503248353)	(2.0, 0.45880191764864015)	(3.0, 0.39517899547470764)	(4.0, 0.2580760786773601)	(5.0, 0.2150633988978001)	(6.0, 0.19893364398046506)	(7.0, 0.10663560195349255)	(8.0, 0.12903803933868005)	(9.0, 0.12097316188001254)	('>10', 1.3656525830010304)	('>50', 0.30736144092477263)	('>100', 2.320892513105426)	('>500', 2.829875890496886)	('>1k', 17.546485057574266)	('>5k', 16.133339307316636)	('>10k+', 56.70146511940499)
