Method	n	n_sample	n_species	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS	mean_abs_difference_pct_point	mean_abs_relative_deviation_pct
Cutadapt_SE	120	12	10	0.7939840540901428	2.874853549946261e-27	0.7001764214549515	5.628746909201079e-19	0.49024702116146185	0.5777816944487112	0.08535241066612034	0.05689448385395653	5.689448385395654	88.91954655985589
ITSx_SE	120	12	10	0.7934874711362898	3.2619349078911176e-27	0.6989468098876933	6.878306005499483e-19	0.48852664305218313	0.572477487380615	0.08539442824662785	0.05713376598590019	5.71337659859002	88.84289705347172
ITSx_PE	120	12	10	0.7933900668007208	3.3436309259959394e-27	0.6986336920779166	7.237411101066272e-19	0.48808903570642115	0.5725160966405415	0.08544433052831718	0.05716405293119129	5.716405293119129	89.00033030743585
Cutadapt_PE	120	12	10	0.7932199045733632	3.491180107210076e-27	0.6905840315999501	2.6191943768296814e-18	0.47690630470084083	0.5741513596443799	0.08676548845992034	0.05740910917433089	5.740910917433089	90.20944482014171
