DNA_kit	n	n_sample	n_species	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS	mean_abs_difference_pct_point	mean_abs_relative_deviation_pct
QIAamp	40	4	10	0.8219897752839409	7.90824542237965e-11	0.768684173952085	6.941738806421054e-9	0.5908753592843993	0.5287129163634644	0.0896525058288991	0.0524757525141273	5.24757525141273	91.94534250060114
DNeasy	40	4	10	0.7708763505964392	5.915290842971766e-9	0.7159901694882369	2.058744765598119e-7	0.5126419228037941	0.5380022811073348	0.08860941304462946	0.06260310377072355	6.260310377072355	111.15345979232224
Zymo	40	4	10	0.7252768001595029	1.1986891610502217e-7	0.6385565765955867	9.266728069594411e-6	0.4077545015134753	0.7985964352677072	0.07737845465755233	0.05632244167284973	5.632244167284973	63.429888867491776
