DNA_kit	taxon	n	qPCR_mean	qPCR_sd	NGS_mean	NGS_sd	expected_abundance	mean_NGS_minus_qPCR	mean_NGS_minus_qPCR_pct_point	mean_relative_deviation_from_qPCR_pct	mean_abs_NGS_minus_qPCR_pct_point	NGS_bias_from_expected	qPCR_bias_from_expected
DNeasy	Aspergillus_fumigatus	4	0.09550867349707479	0.00770532095700339	0.03227212928384955	0.0028483099774930525	0.1	-0.06323654421322523	-6.323654421322523	-66.17547192032451	6.323654421322523	-0.06772787071615045	-0.004491326502925219
DNeasy	Cryptococcus_neoformans	4	0.3241001327460241	0.016998246748797487	0.14462921901786185	0.003468336328952623	0.1	-0.17947091372816232	-17.94709137281623	-55.29936198553384	17.94709137281623	0.04462921901786185	0.2241001327460241
DNeasy	Trichophyton_interdigitale	4	0.00614977349867599	9.746523990519053e-4	0.004720654337017174	6.596440342806284e-4	0.1	-0.0014291191616588154	-0.14291191616588153	-21.671468370793015	0.14291191616588153	-0.09527934566298284	-0.09385022650132402
DNeasy	Penicillium_chrysogenum	4	0.07206717119550163	0.013681361658341816	0.12807152429398838	0.012368608873715407	0.1	0.05600435309848677	5.6004353098486765	84.43983636242966	5.6004353098486765	0.028071524293988376	-0.027932828804498377
DNeasy	Fusarium_keratoplasticum	4	8.381682832291374e-4	1.3309425085592525e-4	0.0018516114791214443	3.229890998055552e-4	0.1	0.0010134431958923069	0.10134431958923068	125.70458573358121	0.10134431958923068	-0.09814838852087857	-0.09916183171677087
DNeasy	Candida_albicans	4	0.36542770883619624	0.02244045958098073	0.2978371243995662	0.007502253421049705	0.1	-0.06759058443663002	-6.759058443663002	-18.232086148946635	6.759058443663002	0.19783712439956622	0.26542770883619626
DNeasy	Nakaseomyces_glabratus	4	0.06574358012552015	0.0075336347494921125	0.11199945620065677	0.0028459090278233562	0.1	0.04625587607513662	4.625587607513662	72.00626507249206	4.625587607513662	0.01199945620065676	-0.03425641987447986
DNeasy	Malassezia_globosa	4	0.001292170178546565	0.00061702973063509285	3.8128646051778703e-6	7.625729210355741e-6	0.1	-0.0012883573139413872	-0.1288357313941387	-99.62631463634706	0.1288357313941387	-0.09999618713539483	-0.09870782982145344
DNeasy	Saccharomyces_cerevisiae	4	0.025012665295906848	0.00731181717440097	0.06189918889763178	0.0036827275120438485	0.1	0.03688652360172493	3.6886523601724934	168.4708722749491	3.6886523601724934	-0.03810081110236822	-0.07498733470409316
DNeasy	Cutaneotrichosporon_dermatis	4	0.04385995634332456	0.005618402681530939	0.2167152792257017	0.011884861578500484	0.1	0.17285532288237715	17.285532288237714	399.90833541782524	17.285532288237714	0.11671527922570168	-0.056140043656675444
QIAamp	Aspergillus_fumigatus	4	0.0843784856156913	0.012283848275235133	0.03384130803672303	0.0013557222746855635	0.1	-0.05053717757896828	-5.053717757896828	-59.21875192086696	5.053717757896828	-0.06615869196327698	-0.015621514384308699
QIAamp	Cryptococcus_neoformans	4	0.1375383356292926	0.01282836579582385	0.15610609053529484	0.006381708142264697	0.1	0.018567754906002244	1.8567754906002243	14.467146551360806	2.3286667828345977	0.056106090535294834	0.037538335629292596
QIAamp	Trichophyton_interdigitale	4	0.008676233590709294	0.0036027747645069295	0.00589286984488141	7.469967780134192e-4	0.1	-0.002783363745827885	-0.27833637458278854	-14.556053946166111	0.4196324033272307	-0.0941071301551186	-0.09132376640929071
QIAamp	Penicillium_chrysogenum	4	0.08259872516887491	0.03655705122216194	0.1336998369280057	0.001682280408188008	0.1	0.05110111175913078	5.110111175913078	114.26091182850999	5.110111175913078	0.03369983692800568	-0.017401274831125094
QIAamp	Fusarium_keratoplasticum	4	0.0015760705582331326	3.6504767363597704e-4	0.0020969623878788197	3.007397323277516e-4	0.1	5.208918296456873e-4	0.05208918296456874	36.233266051649224	0.05208918296456874	-0.09790303761212119	-0.09842392944176687
QIAamp	Candida_albicans	4	0.4848567294285593	0.09623880294999251	0.2889420135776909	0.009718016349635176	0.1	-0.1959147158508684	-19.59147158508684	-38.653319821418684	19.59147158508684	0.1889420135776909	0.3848567294285593
QIAamp	Nakaseomyces_glabratus	4	0.09911148672916134	0.03477870137031977	0.11394975803822244	0.003788678917084576	0.1	0.0148382713090611	1.48382713090611	31.668120095640234	2.4242709322896783	0.013949758038222432	-8.885132708386645e-4
QIAamp	Malassezia_globosa	4	0.00538716798162973	0.002142118450704732	1.1818198469714971e-5	1.4672364423010212e-5	0.1	-0.005375349783160015	-0.5375349783160015	-99.79661464824424	0.5375349783160015	-0.0999881818015303	-0.09461283201837027
QIAamp	Saccharomyces_cerevisiae	4	0.028303129539003748	0.011499280332202842	0.04300621207110848	0.00299317482120416	0.1	0.014703082532104731	1.4703082532104732	81.55258713890319	1.4703082532104732	-0.05699378792889152	-0.07169687046099626
