variable	Sum.Sq	Mean.Sq	NumDF	DenDF	F.value	Pr..F.
DNA_kit	78.34427189513879	39.172135947569394	2	465.000000209792	2.9344020292625914	0.05414775796244442
Method	0.15946391376331595	0.053154637921105315	3	465.0000002248017	0.003981837436416025	0.9996534550298476
