Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct
ITSx_PE	DNeasy	Aspergillus_fumigatus	0.032308293303277856	0.002872709254941413	-0.06769170669672214	-67.69170669672214
ITSx_PE	DNeasy	Cryptococcus_neoformans	0.14461958234448813	0.0034433734107646224	0.04461958234448812	44.61958234448812
ITSx_PE	DNeasy	Trichophyton_interdigitale	0.004567050828240628	6.390707510285247e-4	-0.09543294917175937	-95.43294917175938
ITSx_PE	DNeasy	Penicillium_chrysogenum	0.12797947034555665	0.012256542554120044	0.027979470345556645	27.979470345556646
ITSx_PE	DNeasy	Fusarium_keratoplasticum	0.0018561480429660267	3.252245996160737e-4	-0.09814385195703398	-98.14385195703397
ITSx_PE	DNeasy	Candida_albicans	0.29780446809705713	0.007565204174287431	0.19780446809705712	197.8044680970571
ITSx_PE	DNeasy	Nakaseomyces_glabratus	0.1120573983408904	0.0028939956925429474	0.012057398340890396	12.057398340890396
ITSx_PE	DNeasy	Malassezia_globosa	0	0	-0.1	-100
ITSx_PE	DNeasy	Saccharomyces_cerevisiae	0.06196749735870513	0.003655673475395109	-0.038032502641294874	-38.032502641294876
ITSx_PE	DNeasy	Cutaneotrichosporon_dermatis	0.21684009133881801	0.012138715999269896	0.11684009133881801	116.84009133881801
ITSx_PE	QIAamp	Aspergillus_fumigatus	0.033769023307778326	0.0013404772879821066	-0.06623097669222168	-66.23097669222167
ITSx_PE	QIAamp	Cryptococcus_neoformans	0.15603367559707892	0.006346224500303011	0.05603367559707892	56.03367559707891
ITSx_PE	QIAamp	Trichophyton_interdigitale	0.005691938797838686	7.267590989587414e-4	-0.09430806120216131	-94.30806120216131
ITSx_PE	QIAamp	Penicillium_chrysogenum	0.13357151602394204	0.0017289764645004682	0.03357151602394204	33.57151602394204
ITSx_PE	QIAamp	Fusarium_keratoplasticum	0.002089898225293275	3.1026602182239937e-4	-0.09791010177470673	-97.91010177470673
ITSx_PE	QIAamp	Candida_albicans	0.2890003042300189	0.009736036272294002	0.18900030423001887	189.00030423001886
ITSx_PE	QIAamp	Nakaseomyces_glabratus	0.11403483018129162	0.0037544654178352684	0.014034830181291619	14.03483018129162
ITSx_PE	QIAamp	Malassezia_globosa	1.1845164794445111e-5	1.4704937443694445e-5	-0.09998815483520557	-99.98815483520556
ITSx_PE	QIAamp	Saccharomyces_cerevisiae	0.04303469921544929	0.0030025062431203336	-0.05696530078455071	-56.965300784550706
ITSx_PE	QIAamp	Cutaneotrichosporon_dermatis	0.2227622692565145	0.01266018370530698	0.12276226925651448	122.76226925651447
ITSx_PE	Zymo	Aspergillus_fumigatus	0.030490648889729514	0.003469776811923692	-0.06950935111027048	-69.50935111027047
ITSx_PE	Zymo	Cryptococcus_neoformans	0.14584912062657496	0.006130441723721419	0.04584912062657495	45.84912062657495
ITSx_PE	Zymo	Trichophyton_interdigitale	0.00405707486339896	8.464537200827327e-4	-0.09594292513660105	-95.94292513660105
ITSx_PE	Zymo	Penicillium_chrysogenum	0.1365901956010944	0.008555034500002194	0.03659019560109439	36.590195601094386
ITSx_PE	Zymo	Fusarium_keratoplasticum	0.001760906236479443	2.4641132346973254e-4	-0.09823909376352057	-98.23909376352056
ITSx_PE	Zymo	Candida_albicans	0.30079724520062495	0.010024338950183663	0.20079724520062495	200.79724520062493
ITSx_PE	Zymo	Nakaseomyces_glabratus	0.09857012605873508	0.005183977084208582	-0.0014298739412649253	-1.4298739412649253
ITSx_PE	Zymo	Malassezia_globosa	6.396664890388236e-5	3.872591220742587e-5	-0.09993603335109612	-99.93603335109611
