Paired	n	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS
SE	240	0.7934806883350308	3.0396832950025774e-53	0.6995590375068735	1.3485139080636751e-36	0.48938284695754336	0.5751295909146632	0.08537342204130782	0.05701412491992836
PE	240	0.7931768374885807	3.5499166443291555e-53	0.6945616957685462	6.812232396168275e-36	0.4824159492288787	0.5733337281424608	0.08610744336908652	0.05728658105276109
