comparison_level	group	n	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS
DNA kit	QIAamp	160	0.822651905555757	1.3750286349720396e-40	0.7664965742491648	3.408843425897357e-32	0.5875169983357056	0.5301644327947862	0.08991281532467198	0.0524754295336745
DNA kit	DNeasy	160	0.7705516982275876	1.018516072863633e-32	0.7154798753954087	2.1685360864857816e-26	0.5119114520958293	0.540622415572604	0.088707846562469	0.0623323538670922
DNA kit	Zymo	160	0.7276320178524419	1.1847011525344626e-27	0.6350144301431541	1.9195391535655963e-19	0.4032433264900347	0.7990485599988298	0.07811064646094316	0.05664327555826749
Trimming	Cutadapt	240	0.7934667203462993	3.0614609267885805e-53	0.6953573827273708	5.2753796105045735e-36	0.4835218897134595	0.5759665270465456	0.08606184983547188	0.05715179651414371
Trimming	ITSxpress	240	0.7933382355209508	3.2691620023573787e-53	0.6987901874133408	1.7339107684004966e-36	0.4883077260251721	0.5724967920105785	0.08541938303160702	0.05714890945854574
Read strategy	SE	240	0.7934806883350308	3.0396832950025774e-53	0.6995590375068735	1.3485139080636751e-36	0.48938284695754336	0.5751295909146632	0.08537342204130782	0.05701412491992836
Read strategy	PE	240	0.7931768374885807	3.5499166443291555e-53	0.6945616957685462	6.812232396168275e-36	0.4824159492288787	0.5733337281424608	0.08610744336908652	0.05728658105276109
