feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm
464e19f539c8d48eeb059761e4076133	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
46af2089e83994319d971cbc29507615	CustomDB BLAST	Fusarium	Fusarium_keratoplasticum	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4829c7cee3b18ec5924817979293801f	CustomDB BLAST	Cryptococcus	Cryptococcus_neoformans	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
484bd431a65762338ef456a194b5348e	CustomDB BLAST	Candida	Candida_albicans	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida_albicans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4895bce8e320a5bf47a9ca23b5631654	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4932e029d9172067e8f5fd3ec92cf65f	CustomDB BLAST	Penicillium	Penicillium_chrysogenum	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_chrysogenum	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4941117af711ee0d06af22a61b399b2d	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4951881ce90885c4c3b8b071badab83f	CustomDB BLAST	Fusarium	Fusarium_keratoplasticum	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4aae9ea7e4bfc0aaa35d3772535cb612	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4b3032f1ababa735f461201a632784c8	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4bc9878d9cb5210bbfa8e56b3f990fe1	CustomDB BLAST	Aspergillus	Aspergillus_fumigatus	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4bfd955490a13cf9d93564394b8053c5	CustomDB BLAST	Aspergillus	Aspergillus_fumigatus	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_fumigatus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4c2a20f52c5307c38f027444128a1e56	CustomDB BLAST	Cryptococcus	Cryptococcus_neoformans	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_neoformans	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4d1c9fd884a315a755aa7c59427b2d62	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4e69eeb85eb9ec34c929b61a9a698d0e	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4f6650e0c14cacd7abd09857e6585ff4	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
4ff375ae9b66ece9a7f74f5a13354b9d	CustomDB BLAST	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
5028db85c93296a70c563f0a3ef6eeb2	CustomDB BLAST	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon_dermatis	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
5105a2d6db57cdbabd078e95db2396c5	CustomDB BLAST	Nakaseomyces	Nakaseomyces_glabratus	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Nakaseomyces; s__Nakaseomyces_glabratus	fig4_q30_SE_cutadapt_unite_blast_top1_rescue	Cutadapt	SE	SE	Cutadapt
