Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct	mean_difference_NGS_minus_qPCR	absolute_mean_difference
ITSx_PE	DNeasy	Aspergillus_fumigatus	0.032308293303277856	0.002872709254941413	-0.06769170669672214	-67.69170669672214	0.09550867349707479	0.00770532095700339	-0.004491326502925219	-4.491326502925219	-0.06320038019379692	0.06320038019379692
ITSx_PE	DNeasy	Cryptococcus_neoformans	0.14461958234448813	0.0034433734107646224	0.04461958234448812	44.61958234448812	0.3241001327460241	0.016998246748797487	0.2241001327460241	224.1001327460241	-0.179480550401536	0.179480550401536
ITSx_PE	DNeasy	Trichophyton_interdigitale	0.004567050828240628	6.390707510285247e-4	-0.09543294917175937	-95.43294917175938	0.00614977349867599	9.746523990519053e-4	-0.09385022650132402	-93.85022650132402	-0.0015827226704353626	0.0015827226704353626
ITSx_PE	DNeasy	Penicillium_chrysogenum	0.12797947034555665	0.012256542554120044	0.027979470345556645	27.979470345556646	0.07206717119550163	0.013681361658341816	-0.027932828804498377	-27.932828804498378	0.05591229915005502	0.05591229915005502
ITSx_PE	DNeasy	Fusarium_keratoplasticum	0.0018561480429660267	3.252245996160737e-4	-0.09814385195703398	-98.14385195703397	8.381682832291374e-4	1.3309425085592525e-4	-0.09916183171677087	-99.16183171677086	0.0010179797597368893	0.0010179797597368893
ITSx_PE	DNeasy	Candida_albicans	0.29780446809705713	0.007565204174287431	0.19780446809705712	197.8044680970571	0.36542770883619624	0.02244045958098073	0.26542770883619626	265.42770883619625	-0.06762324073913911	0.06762324073913911
ITSx_PE	DNeasy	Nakaseomyces_glabratus	0.1120573983408904	0.0028939956925429474	0.012057398340890396	12.057398340890396	0.06574358012552015	0.0075336347494921125	-0.03425641987447986	-34.25641987447986	0.046313818215370256	0.046313818215370256
ITSx_PE	DNeasy	Malassezia_globosa	0	0	-0.1	-100	0.001292170178546565	0.00061702973063509285	-0.09870782982145344	-98.70782982145344	-0.001292170178546565	0.001292170178546565
ITSx_PE	DNeasy	Saccharomyces_cerevisiae	0.06196749735870513	0.003655673475395109	-0.038032502641294874	-38.032502641294876	0.025012665295906848	0.00731181717440097	-0.07498733470409316	-74.98733470409316	0.03695483206279829	0.03695483206279829
ITSx_PE	DNeasy	Cutaneotrichosporon_dermatis	0.21684009133881801	0.012138715999269896	0.11684009133881801	116.84009133881801	0.04385995634332456	0.005618402681530939	-0.056140043656675444	-56.140043656675445	0.17298013499549345	0.17298013499549345
ITSx_PE	QIAamp	Aspergillus_fumigatus	0.033769023307778326	0.0013404772879821066	-0.06623097669222168	-66.23097669222167	0.0843784856156913	0.012283848275235133	-0.015621514384308699	-15.6215143843087	-0.05060946230791298	0.05060946230791298
ITSx_PE	QIAamp	Cryptococcus_neoformans	0.15603367559707892	0.006346224500303011	0.05603367559707892	56.03367559707891	0.1375383356292926	0.01282836579582385	0.037538335629292596	37.5383356292926	0.018495339967786323	0.018495339967786323
ITSx_PE	QIAamp	Trichophyton_interdigitale	0.005691938797838686	7.267590989587414e-4	-0.09430806120216131	-94.30806120216131	0.008676233590709294	0.0036027747645069295	-0.09132376640929071	-91.32376640929071	-0.002984294792870608	0.002984294792870608
ITSx_PE	QIAamp	Penicillium_chrysogenum	0.13357151602394204	0.0017289764645004682	0.03357151602394204	33.57151602394204	0.08259872516887491	0.03655705122216194	-0.017401274831125094	-17.401274831125093	0.05097279085506713	0.05097279085506713
ITSx_PE	QIAamp	Fusarium_keratoplasticum	0.002089898225293275	3.1026602182239937e-4	-0.09791010177470673	-97.91010177470673	0.0015760705582331326	3.6504767363597704e-4	-0.09842392944176687	-98.42392944176687	5.138276670601425e-4	5.138276670601425e-4
ITSx_PE	QIAamp	Candida_albicans	0.2890003042300189	0.009736036272294002	0.18900030423001887	189.00030423001886	0.4848567294285593	0.09623880294999251	0.3848567294285593	384.8567294285593	-0.1958564251985404	0.1958564251985404
ITSx_PE	QIAamp	Nakaseomyces_glabratus	0.11403483018129162	0.0037544654178352684	0.014034830181291619	14.03483018129162	0.09911148672916134	0.03477870137031977	-8.885132708386645e-4	-0.8885132708386645	0.014923343452130283	0.014923343452130283
ITSx_PE	QIAamp	Malassezia_globosa	1.1845164794445111e-5	1.4704937443694445e-5	-0.09998815483520557	-99.98815483520556	0.00538716798162973	0.002142118450704732	-0.09461283201837027	-94.61283201837027	-0.005375322816835284	0.005375322816835284
ITSx_PE	QIAamp	Saccharomyces_cerevisiae	0.04303469921544929	0.0030025062431203336	-0.05696530078455071	-56.965300784550706	0.028303129539003748	0.011499280332202842	-0.07169687046099626	-71.69687046099627	0.014731569676445545	0.014731569676445545
ITSx_PE	QIAamp	Cutaneotrichosporon_dermatis	0.2227622692565145	0.01266018370530698	0.12276226925651448	122.76226925651447	0.06757363575884463	0.03501722083393325	-0.03242636424115537	-32.42636424115537	0.15518863349766987	0.15518863349766987
ITSx_PE	Zymo	Aspergillus_fumigatus	0.030490648889729514	0.003469776811923692	-0.06950935111027048	-69.50935111027047	0.1395183832739813	0.005603149441530646	0.0395183832739813	39.5183832739813	-0.10902773438425178	0.10902773438425178
ITSx_PE	Zymo	Cryptococcus_neoformans	0.14584912062657496	0.006130441723721419	0.04584912062657495	45.84912062657495	0.2565487117310369	0.01621195896936413	0.15654871173103688	156.54871173103686	-0.11069959110446193	0.11069959110446193
ITSx_PE	Zymo	Trichophyton_interdigitale	0.00405707486339896	8.464537200827327e-4	-0.09594292513660105	-95.94292513660105	0.012875284239772525	0.0021352565282213554	-0.08712471576022748	-87.12471576022747	-0.008818209376373565	0.008818209376373565
ITSx_PE	Zymo	Penicillium_chrysogenum	0.1365901956010944	0.008555034500002194	0.03659019560109439	36.590195601094386	0.13534603605129017	0.030655390523029027	0.035346036051290164	35.34603605129016	0.0012441595498042246	0.0012441595498042246
ITSx_PE	Zymo	Fusarium_keratoplasticum	0.001760906236479443	2.4641132346973254e-4	-0.09823909376352057	-98.23909376352056	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.007584739358357975	0.007584739358357975
ITSx_PE	Zymo	Candida_albicans	0.30079724520062495	0.010024338950183663	0.20079724520062495	200.79724520062493	0.16714457848631792	0.030171873548877803	0.06714457848631791	67.14457848631791	0.13365266671430703	0.13365266671430703
ITSx_PE	Zymo	Nakaseomyces_glabratus	0.09857012605873508	0.005183977084208582	-0.0014298739412649253	-1.4298739412649253	0.11653670306763492	0.02730963167952455	0.01653670306763491	16.53670306763491	-0.017966577008899837	0.017966577008899837
ITSx_PE	Zymo	Malassezia_globosa	6.396664890388236e-5	3.872591220742587e-5	-0.09993603335109612	-99.93603335109611	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.009281678945933536	0.009281678945933536
