Trimm	n	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS
Cutadapt	240	0.7934667203462993	3.0614609267885805e-53	0.6953573827273708	5.2753796105045735e-36	0.4835218897134595	0.5759665270465456	0.08606184983547188	0.05715179651414371
ITSxpress	240	0.7933382355209508	3.2691620023573787e-53	0.6987901874133408	1.7339107684004966e-36	0.4883077260251721	0.5724967920105785	0.08541938303160702	0.05714890945854574
