DNA_kit	metric	value
QIAamp	Spearman rho	0.8219897752839409
QIAamp	R²	0.5908753592843993
QIAamp	RMSE	0.0896525058288991
QIAamp	MAE	0.0524757525141273
DNeasy	Spearman rho	0.7708763505964392
DNeasy	R²	0.5126419228037941
DNeasy	RMSE	0.08860941304462946
DNeasy	MAE	0.06260310377072355
Zymo	Spearman rho	0.7252768001595029
Zymo	R²	0.4077545015134753
Zymo	RMSE	0.07737845465755233
Zymo	MAE	0.05632244167284973
