DNA_kit	taxon	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct
DNeasy	Aspergillus_fumigatus	0.09550867349707479	0.00770532095700339	-0.004491326502925219	-4.491326502925219
DNeasy	Cryptococcus_neoformans	0.3241001327460241	0.016998246748797487	0.2241001327460241	224.1001327460241
DNeasy	Trichophyton_interdigitale	0.00614977349867599	9.746523990519053e-4	-0.09385022650132402	-93.85022650132402
DNeasy	Penicillium_chrysogenum	0.07206717119550163	0.013681361658341816	-0.027932828804498377	-27.932828804498378
DNeasy	Fusarium_keratoplasticum	8.381682832291374e-4	1.3309425085592525e-4	-0.09916183171677087	-99.16183171677086
DNeasy	Candida_albicans	0.36542770883619624	0.02244045958098073	0.26542770883619626	265.42770883619625
DNeasy	Nakaseomyces_glabratus	0.06574358012552015	0.0075336347494921125	-0.03425641987447986	-34.25641987447986
DNeasy	Malassezia_globosa	0.001292170178546565	0.00061702973063509285	-0.09870782982145344	-98.70782982145344
DNeasy	Saccharomyces_cerevisiae	0.025012665295906848	0.00731181717440097	-0.07498733470409316	-74.98733470409316
DNeasy	Cutaneotrichosporon_dermatis	0.04385995634332456	0.005618402681530939	-0.056140043656675444	-56.140043656675445
QIAamp	Aspergillus_fumigatus	0.0843784856156913	0.012283848275235133	-0.015621514384308699	-15.6215143843087
QIAamp	Cryptococcus_neoformans	0.1375383356292926	0.01282836579582385	0.037538335629292596	37.5383356292926
QIAamp	Trichophyton_interdigitale	0.008676233590709294	0.0036027747645069295	-0.09132376640929071	-91.32376640929071
QIAamp	Penicillium_chrysogenum	0.08259872516887491	0.03655705122216194	-0.017401274831125094	-17.401274831125093
QIAamp	Fusarium_keratoplasticum	0.0015760705582331326	3.6504767363597704e-4	-0.09842392944176687	-98.42392944176687
QIAamp	Candida_albicans	0.4848567294285593	0.09623880294999251	0.3848567294285593	384.8567294285593
QIAamp	Nakaseomyces_glabratus	0.09911148672916134	0.03477870137031977	-8.885132708386645e-4	-0.8885132708386645
QIAamp	Malassezia_globosa	0.00538716798162973	0.002142118450704732	-0.09461283201837027	-94.61283201837027
QIAamp	Saccharomyces_cerevisiae	0.028303129539003748	0.011499280332202842	-0.07169687046099626	-71.69687046099627
QIAamp	Cutaneotrichosporon_dermatis	0.06757363575884463	0.03501722083393325	-0.03242636424115537	-32.42636424115537
Zymo	Aspergillus_fumigatus	0.1395183832739813	0.005603149441530646	0.0395183832739813	39.5183832739813
Zymo	Cryptococcus_neoformans	0.2565487117310369	0.01621195896936413	0.15654871173103688	156.54871173103686
Zymo	Trichophyton_interdigitale	0.012875284239772525	0.0021352565282213554	-0.08712471576022748	-87.12471576022747
Zymo	Penicillium_chrysogenum	0.13534603605129017	0.030655390523029027	0.035346036051290164	35.34603605129016
Zymo	Fusarium_keratoplasticum	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258
Zymo	Candida_albicans	0.16714457848631792	0.030171873548877803	0.06714457848631791	67.14457848631791
Zymo	Nakaseomyces_glabratus	0.11653670306763492	0.02730963167952455	0.01653670306763491	16.53670306763491
Zymo	Malassezia_globosa	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258
Zymo	Saccharomyces_cerevisiae	0.04495706576028813	0.006944080621693184	-0.05504293423971188	-55.04293423971187
Zymo	Cutaneotrichosporon_dermatis	0.10838194620000324	0.02495903601579078	0.008381946200003237	8.381946200003238
