variable	Df	Sum.Sq	Mean.Sq	F.value	Pr..F.
DNA_kit	2	20.907596979464465	10.453798489732232	0.2541430586990896	0.7760078737900317
Residuals	117	4812.621794824777	41.13351961388698	NA	NA
