DNA_kit	n	spearman_rho	spearman_p	pearson_r	pearson_p	lm_R2	lm_slope	RMSE_between_qPCR_NGS	MAE_between_qPCR_NGS
QIAamp	160	0.822651905555757	1.3750286349720396e-40	0.7664965742491648	3.408843425897357e-32	0.5875169983357056	0.5301644327947862	0.08991281532467198	0.0524754295336745
DNeasy	160	0.7705516982275876	1.018516072863633e-32	0.7154798753954087	2.1685360864857816e-26	0.5119114520958293	0.540622415572604	0.088707846562469	0.0623323538670922
Zymo	160	0.7276320178524419	1.1847011525344626e-27	0.6350144301431541	1.9195391535655963e-19	0.4032433264900347	0.7990485599988298	0.07811064646094316	0.05664327555826749
