variable	Df	Sum.Sq	Mean.Sq	F.value	Pr..F.
DNA_kit	2	78.34427189513474	39.17213594756737	0.9506541235979057	0.3872237546906176
Method	3	0.15946391376331365	0.05315463792110455	0.0012899903083071404	0.9999359440871687
Residuals	474	19531.38578821375	41.205455249396095	NA	NA
