run_id	sample_id	DNA_kit	replicate	matrix_type	pipeline	preprocess_method	read_strategy	taxonomy_method	BLAST	Paired	Trimm	taxonomic_rank	TP	FP	FN	precision	recall	F1	false_discovery_rate	Bray_Curtis	R2	detection_threshold	Method
fig4_q20_PE_cutadapt_unite	4Q	QIAamp	4	mock_only	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Species	5	5	5	0.5	0.5	0.5	0.5	0.6237524678330724	0.17091478957472528	count_gt_0	Cutadapt_PE
fig4_q20_PE_cutadapt_unite	4Q	QIAamp	4	mock_only	ITSdetector	Cutadapt	PE	UNITE+BLAST	BLAST	PE	Cutadapt	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6215739669140172	0.17278229352337474	count_gt_0	Cutadapt_PE
fig4_q20_PE_cutadapt_unite	4Z	Zymo	4	mock_only	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Species	5	5	5	0.5	0.5	0.5	0.5	0.6237216790813157	0.17725937823470372	count_gt_0	Cutadapt_PE
fig4_q20_PE_cutadapt_unite	4Z	Zymo	4	mock_only	ITSdetector	Cutadapt	PE	UNITE+BLAST	BLAST	PE	Cutadapt	Species	7	5	3	0.5833333333333334	0.7	0.6363636363636365	0.4166666666666667	0.6215782122905027	0.17903777617303568	count_gt_0	Cutadapt_PE
fig4_q20_PE_itsxpress_unite	1D	DNeasy	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	5	5	0.5	0.5	0.5	0.5	0.6037751422737737	0.1870264907979021	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	1D	DNeasy	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+BLAST	BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6019397019853164	0.18876162539504254	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	1Q	QIAamp	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	6	5	0.45454545454545453	0.5	0.47619047619047616	0.5454545454545454	0.6245635347610288	0.19085931295445233	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	1Q	QIAamp	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+BLAST	BLAST	PE	ITSxpress	Species	6	7	4	0.46153846153846156	0.6	0.5217391304347826	0.5384615384615384	0.6229183298045886	0.19241092536006232	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	1Z	Zymo	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6304823900090466	0.15311888681473068	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	1Z	Zymo	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+BLAST	BLAST	PE	ITSxpress	Species	7	5	3	0.5833333333333334	0.7	0.6363636363636365	0.4166666666666667	0.6290057920076533	0.15430611725801213	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	2D	DNeasy	2	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	6	5	0.45454545454545453	0.5	0.47619047619047616	0.5454545454545454	0.6044985250737462	0.19568836414787383	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	2D	DNeasy	2	mock_only	ITSdetector	ITSxpress	PE	UNITE+BLAST	BLAST	PE	ITSxpress	Species	6	6	4	0.5	0.6	0.5454545454545454	0.5	0.6030865529894236	0.19696621461581348	count_gt_0	ITSx_PE
fig4_q20_PE_itsxpress_unite	2Q	QIAamp	2	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.619161269870024	0.19328195041822918	count_gt_0	ITSx_PE
