Genus	taxon	total_abundance	max_abundance
Aspergillus	Aspergillus_fumigatus	3.044198161478025	0.03547069811894522
Cryptococcus	Cryptococcus_neoformans	14.376486748301165	0.1645216151383948
Trichophyton	Trichophyton_mentagrophytes	0.47187018783731005	0.006803981011239241
Penicillium	Penicillium_flavigenum	0.004598262491248521	9.573304157549234e-4
Fusarium	Fusarium_keratoplasticum	0.09202285001197529	0.002436955949584255
Candida	Candida_albicans	28.477047380520414	0.3164086747361887
Nakaseomyces	Nakaseomyces_glabratus	10.312437182395874	0.11944587961766985
Malassezia	Malassezia_globosa	0.0023911808916356435	1.4713764726902016e-4
Saccharomyces	Saccharomyces_cerevisiae	5.044199053165391	0.0670337998282221
Cutaneotrichosporon	Cutaneotrichosporon_mucoides	21.648533572901663	0.2723387538391943
