Variable	Df	SumOfSqs	R2	F	p_value
DNA_kit	2	0.013114839910710677	0.3827190014382242	14.365954342332309	1e-4
Paired	1	3.450777457585791e-4	0.010070104642864846	0.7559941522540582	0.0058
Trimm	1	0.0011800357899137415	0.03443596126616237	2.5852149771762214	1e-4
