Metric	Value
total_asvs	491
reconcile_mode	high_confidence_species
species_min_pident	99.0
species_min_qcovus	99.0
species_max_evalue	1e-10
blast_species_replaced_high_confidence	75
qiime_retained_ambiguous_blast	28
qiime_retained_blast_cutoff_fail	33
qiime_retained_no_blast_species	355
blast_cutoff_pass	99
blast_genus_match	100
