Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
3D_1	(18.0, 2.0)	(19.0, 4.0)	(20.0, 14.0)	(21.0, 12.0)	(22.0, 18.0)	(23.0, 19.0)	(24.0, 27.0)	(25.0, 51.0)	(26.0, 82.0)	(27.0, 78.0)	(28.0, 100.0)	(29.0, 137.0)	(30.0, 156.0)	(31.0, 219.0)	(32.0, 271.0)	(33.0, 446.0)	(34.0, 707.0)	(35.0, 1342.0)	(36.0, 5189.0)	(37.0, 32915.0)	(38.0, 98898.0)			
3D_2	(16.0, 1.0)	(17.0, 5.0)	(18.0, 31.0)	(19.0, 137.0)	(20.0, 132.0)	(21.0, 114.0)	(22.0, 114.0)	(23.0, 105.0)	(24.0, 87.0)	(25.0, 103.0)	(26.0, 94.0)	(27.0, 98.0)	(28.0, 153.0)	(29.0, 144.0)	(30.0, 196.0)	(31.0, 234.0)	(32.0, 302.0)	(33.0, 400.0)	(34.0, 648.0)	(35.0, 1166.0)	(36.0, 2737.0)	(37.0, 46027.0)	(38.0, 87659.0)	
3Q_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 4.0)	(21.0, 9.0)	(22.0, 21.0)	(23.0, 12.0)	(24.0, 21.0)	(25.0, 49.0)	(26.0, 75.0)	(27.0, 79.0)	(28.0, 87.0)	(29.0, 131.0)	(30.0, 143.0)	(31.0, 198.0)	(32.0, 291.0)	(33.0, 412.0)	(34.0, 681.0)	(35.0, 1261.0)	(36.0, 2729.0)	(37.0, 32332.0)	(38.0, 88537.0)			
3Q_2	(16.0, 3.0)	(17.0, 2.0)	(18.0, 30.0)	(19.0, 99.0)	(20.0, 160.0)	(21.0, 142.0)	(22.0, 127.0)	(23.0, 135.0)	(24.0, 111.0)	(25.0, 115.0)	(26.0, 117.0)	(27.0, 131.0)	(28.0, 165.0)	(29.0, 226.0)	(30.0, 255.0)	(31.0, 298.0)	(32.0, 348.0)	(33.0, 452.0)	(34.0, 806.0)	(35.0, 1272.0)	(36.0, 2818.0)	(37.0, 43694.0)	(38.0, 75568.0)	
3Z_1	(19.0, 4.0)	(20.0, 9.0)	(21.0, 18.0)	(22.0, 14.0)	(23.0, 13.0)	(24.0, 17.0)	(25.0, 63.0)	(26.0, 82.0)	(27.0, 101.0)	(28.0, 105.0)	(29.0, 128.0)	(30.0, 175.0)	(31.0, 182.0)	(32.0, 279.0)	(33.0, 412.0)	(34.0, 671.0)	(35.0, 1209.0)	(36.0, 2968.0)	(37.0, 30985.0)	(38.0, 94090.0)				
3Z_2	(16.0, 1.0)	(17.0, 3.0)	(18.0, 34.0)	(19.0, 127.0)	(20.0, 143.0)	(21.0, 102.0)	(22.0, 109.0)	(23.0, 94.0)	(24.0, 80.0)	(25.0, 87.0)	(26.0, 92.0)	(27.0, 104.0)	(28.0, 116.0)	(29.0, 130.0)	(30.0, 159.0)	(31.0, 180.0)	(32.0, 289.0)	(33.0, 348.0)	(34.0, 565.0)	(35.0, 1067.0)	(36.0, 2508.0)	(37.0, 41054.0)	(38.0, 84133.0)	
4D_1	(19.0, 3.0)	(20.0, 14.0)	(21.0, 15.0)	(22.0, 21.0)	(23.0, 21.0)	(24.0, 36.0)	(25.0, 49.0)	(26.0, 93.0)	(27.0, 96.0)	(28.0, 136.0)	(29.0, 128.0)	(30.0, 174.0)	(31.0, 241.0)	(32.0, 327.0)	(33.0, 513.0)	(34.0, 782.0)	(35.0, 3853.0)	(36.0, 7153.0)	(37.0, 34232.0)	(38.0, 96122.0)				
4D_2	(16.0, 1.0)	(17.0, 6.0)	(18.0, 29.0)	(19.0, 106.0)	(20.0, 148.0)	(21.0, 127.0)	(22.0, 112.0)	(23.0, 95.0)	(24.0, 94.0)	(25.0, 78.0)	(26.0, 74.0)	(27.0, 84.0)	(28.0, 106.0)	(29.0, 126.0)	(30.0, 166.0)	(31.0, 204.0)	(32.0, 267.0)	(33.0, 335.0)	(34.0, 559.0)	(35.0, 1118.0)	(36.0, 2622.0)	(37.0, 47901.0)	(38.0, 89651.0)	
4Q_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 9.0)	(21.0, 10.0)	(22.0, 12.0)	(23.0, 12.0)	(24.0, 17.0)	(25.0, 41.0)	(26.0, 53.0)	(27.0, 79.0)	(28.0, 93.0)	(29.0, 117.0)	(30.0, 134.0)	(31.0, 183.0)	(32.0, 237.0)	(33.0, 312.0)	(34.0, 524.0)	(35.0, 1084.0)	(36.0, 2328.0)	(37.0, 33157.0)	(38.0, 73778.0)			
4Q_2	(16.0, 1.0)	(17.0, 5.0)	(18.0, 29.0)	(19.0, 82.0)	(20.0, 109.0)	(21.0, 88.0)	(22.0, 92.0)	(23.0, 91.0)	(24.0, 96.0)	(25.0, 89.0)	(26.0, 79.0)	(27.0, 99.0)	(28.0, 100.0)	(29.0, 131.0)	(30.0, 172.0)	(31.0, 186.0)	(32.0, 271.0)	(33.0, 326.0)	(34.0, 549.0)	(35.0, 989.0)	(36.0, 2169.0)	(37.0, 40679.0)	(38.0, 65750.0)	
