run_id	sample_id	Xaxis	DNA_kit	replicate	matrix_type	taxonomy_method	BLAST	Trimm	Paired	Method	Species2	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Bjerkandera_adusta	0.016427414189367395
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Schizophyllum_commune	0.012109566331336422
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Bullera_alba	0.02048151915903696
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Tilletiopsis_washingtonensis	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Candolleomyces_subminutisporus	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Aspergillus_ruber	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Rhizoplaca_novomexicana	0.002644964394710071
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STD	DNeasy	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Other	0.28724614746995214
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.3488414806442498
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Fungi_k	0.201080813789206
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cutaneotrichosporon_debeurmannianum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_hacksungii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Peniophoraceae_f	0.027917490816614862
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Kazachstania_servazzii	0.008992653291890364
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Debaryomyces_delbrueckii	0.008738344165018367
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_laceratus	0.019793727041537156
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Cladosporium_angustisporum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Saccharomyces_cerevisiae	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Mucor_circinelloides	0.0012079683526419892
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Stereaceae_f	0.00774936422718282
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Penicillium_patris-mei	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bjerkandera_adusta	0.005439389658095507
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Schizophyllum_commune	0.009550720542526137
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Bullera_alba	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Tilletiopsis_washingtonensis	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Candolleomyces_subminutisporus	0.019186210794009607
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Aspergillus_ruber	0.02204012432890647
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Rhizoplaca_novomexicana	3.532071206555524e-5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE	No_BLAST	Cutadapt	PE	Cutadapt_PE	Other	0.3194263916360554
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Ascomycota_p	0.31299802204012434
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Fungi_k	0.20095365922577
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Cutaneotrichosporon_debeurmannianum	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_hacksungii	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Peniophoraceae_f	0.027917490816614862
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Kazachstania_servazzii	0.008992653291890364
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Debaryomyces_delbrueckii	0.008738344165018367
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STQ	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_STQ	QIAamp	NA	stool	UNITE+BLAST	BLAST	Cutadapt	PE	Cutadapt_PE	Irpex_laceratus	0.019793727041537156
