Trimm	Paired	n_asv	n_sequence	total_reads	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	pct_qiime_species_classified_asv	pct_qiime_genus_or_higher_asv	pct_qiime_phylum_or_higher_asv
Cutadapt	PE	297	297	377335	306	325.2828282828283	99.644	100	24.242424242424242	75.75757575757575	63.2996632996633
Cutadapt	SE	292	292	382107	297.5	258.78767123287673	100	100	18.493150684931507	81.5068493150685	70.2054794520548
ITSxpress	PE	92	92	171232	199	196.6413043478261	100	100	63.04347826086957	36.95652173913043	5.434782608695652
ITSxpress	SE	89	89	173348	173	169.41573033707866	100	100	58.42696629213483	41.57303370786517	10.112359550561797
