DNA_kit	taxonomic_rank	taxon	Trimm	Paired	n_sample_detected	n_asv	n_sequence	total_reads	mean_relative_abundance	max_relative_abundance	median_sequence_length	mean_sequence_length	median_blast_pident	median_blast_qcovus	median_blast_alignment_length	pct_qiime_species_resolved_asv	pct_qiime_genus_resolved_asv	pct_blast_cutoff_pass_asv	pct_blast_ambiguous_asv
DNeasy	Genus	Hericiaceae_f	Cutadapt	PE	1	1	1	1988	1.4980596058927698	1.4980596058927698	306	306	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Hericiaceae_f	ITSxpress	PE	1	1	1	1984	3.26423165514972	3.26423165514972	211	211	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Hericiaceae_f	ITSxpress	SE	1	1	1	1989	3.2669218008311027	3.2669218008311027	173	173	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Hydnoporia	Cutadapt	PE	1	1	1	1775	1.3375532195471158	1.3375532195471158	301	301	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Hymenochaetopsis	Cutadapt	SE	1	1	1	1785	1.3271770164168453	1.3271770164168453	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Hymenochaetopsis	ITSxpress	PE	1	1	1	1773	2.9170779861796645	2.9170779861796645	206	206	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Hymenochaetopsis	ITSxpress	SE	1	1	1	1774	2.913785457352627	2.913785457352627	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Irpex	Cutadapt	PE	1	6	6	11204	1.4071311053338857	3.0955879582532684	298	298	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Irpex	Cutadapt	SE	1	5	5	11277	1.6769271948608138	3.0744408755650725	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Irpex	ITSxpress	PE	1	6	6	11184	3.066798288910826	6.740704179006252	203	203	NA	NA	NA	66.66666666666666	100	0	NA
DNeasy	Genus	Irpex	ITSxpress	SE	1	5	5	11227	3.688057421611944	6.74901039699095	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Kazachstania	Cutadapt	PE	1	1	1	165	0.12433593308466147	0.12433593308466147	336	336	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Kazachstania	Cutadapt	SE	1	1	1	166	0.12342374494408756	0.12342374494408756	228	228	100	100	228	100	100	100	0
DNeasy	Genus	Kazachstania	ITSxpress	PE	1	1	1	164	0.26982560052648896	0.26982560052648896	241	241	100	100	241	100	100	100	0
DNeasy	Genus	Kazachstania	ITSxpress	SE	1	1	1	164	0.26936911781613915	0.26936911781613915	173	173	100	100	173	100	100	100	0
DNeasy	Genus	Lecanorales_o	Cutadapt	PE	1	1	1	40	0.030142044384160356	0.030142044384160356	382	382	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Lecanoromycetes_c	Cutadapt	PE	1	2	2	6	0.0022606533288120267	0.0022606533288120267	456.5	456.5	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Lecanoromycetes_c	Cutadapt	SE	1	1	1	3	0.0022305496074232693	0.0022305496074232693	301	301	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Leucosporidium	Cutadapt	PE	1	1	1	43	0.032402697712972384	0.032402697712972384	319	319	100	100	308	100	100	100	0
DNeasy	Genus	Leucosporidium	Cutadapt	SE	1	1	1	44	0.03271472757554128	0.03271472757554128	301	301	100	100	290	100	100	100	0
DNeasy	Genus	Leucosporidium	ITSxpress	PE	1	1	1	43	0.07074695623560383	0.07074695623560383	212	212	100	100	212	100	100	100	0
DNeasy	Genus	Leucosporidium	ITSxpress	SE	1	1	1	43	0.07062726869569502	0.07062726869569502	212	212	100	100	212	100	100	100	0
DNeasy	Genus	Mucor	Cutadapt	PE	1	1	1	527	0.3971214347613127	0.3971214347613127	281	281	99.644	100	281	100	100	100	0
DNeasy	Genus	Mucor	Cutadapt	SE	1	1	1	528	0.39257673090649536	0.39257673090649536	229	229	100	100	229	100	100	100	0
DNeasy	Genus	Mucor	ITSxpress	PE	1	1	1	523	0.8604804211911813	0.8604804211911813	184	184	99.457	100	184	100	100	100	0
DNeasy	Genus	Mucor	ITSxpress	SE	1	1	1	523	0.8590246866941511	0.8590246866941511	174	174	100	100	174	100	100	100	0
DNeasy	Genus	Penicillium	Cutadapt	PE	1	5	5	2500	0.3767755548020045	0.9630383180739234	281	276.4	99.4675	100	281	100	100	80	50
DNeasy	Genus	Penicillium	Cutadapt	SE	1	4	4	2519	0.4682295384249346	0.9621103973352368	228	187.5	99.5635	100	228	75	75	100	50
DNeasy	Genus	Penicillium	ITSxpress	PE	1	3	3	2490	1.3655807831523528	2.117472852912142	160	163.33333333333334	100	100	160	100	100	100	66.66666666666666
DNeasy	Genus	Penicillium	ITSxpress	SE	1	3	3	2492	1.3643655317028835	2.1155330716291902	160	163.33333333333334	100	100	160	100	100	100	66.66666666666666
DNeasy	Genus	Peniophoraceae_f	Cutadapt	PE	1	2	2	6039	2.275347575449305	3.017972193964056	286.5	286.5	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Peniophoraceae_f	Cutadapt	SE	1	2	2	6057	2.25173982869379	2.9852188912681417	228	228	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Peniophoraceae_f	ITSxpress	PE	1	2	2	6024	4.955577492596248	6.566304705495228	191.5	191.5	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Peniophoraceae_f	ITSxpress	SE	1	2	2	6033	4.954585023734047	6.561766010216316	173	173	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Phanerochaete	Cutadapt	PE	1	1	1	1811	1.3646810594928602	1.3646810594928602	295	295	100	100	295	100	100	100	0
DNeasy	Genus	Phanerochaete	Cutadapt	SE	1	1	1	1818	1.351713062098501	1.351713062098501	228	228	100	100	228	100	100	100	0
DNeasy	Genus	Phanerochaete	ITSxpress	PE	1	1	1	1804	2.9680816057913786	2.9680816057913786	200	200	100	100	200	100	100	100	0
DNeasy	Genus	Phanerochaete	ITSxpress	SE	1	1	1	1805	2.9647027905983605	2.9647027905983605	173	173	100	100	173	100	100	100	0
DNeasy	Genus	Phlebiopsis	Cutadapt	PE	1	1	1	1454	1.0956633133642288	1.0956633133642288	302	302	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Phlebiopsis	Cutadapt	SE	1	1	1	1459	1.0847906257435167	1.0847906257435167	228	228	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Phlebiopsis	ITSxpress	PE	1	1	1	1453	2.3905890095426128	2.3905890095426128	207	207	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Phlebiopsis	ITSxpress	SE	1	1	1	1455	2.38982967330782	2.38982967330782	173	173	NA	NA	NA	0	100	0	NA
DNeasy	Genus	Pleosporales_o	Cutadapt	PE	1	2	2	1602	0.603594438792811	1.1717719754342337	272	272	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Pleosporales_o	Cutadapt	SE	1	1	1	1604	1.1926005234356412	1.1926005234356412	228	228	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Pleosporales_o	ITSxpress	PE	1	1	1	1601	2.634090161237249	2.634090161237249	148	148	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Pleosporales_o	ITSxpress	SE	1	1	1	1602	2.631276382569847	2.631276382569847	148	148	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Rhizoplaca	Cutadapt	PE	1	1	1	351	0.2644964394710071	0.2644964394710071	517	517	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Rhizoplaca	Cutadapt	SE	1	1	1	352	0.26171782060433024	0.26171782060433024	297	297	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Sarocladium	Cutadapt	PE	1	2	2	973	0.36660261482235035	0.7226555141102445	281	281	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Sarocladium	Cutadapt	SE	1	1	1	979	0.7279026885557935	0.7279026885557935	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Sarocladium	ITSxpress	PE	1	1	1	974	1.602500822639026	1.602500822639026	167	167	100	100	167	100	100	100	0
DNeasy	Genus	Sarocladium	ITSxpress	SE	1	1	1	975	1.6014322553093638	1.6014322553093638	167	167	100	100	167	100	100	100	0
DNeasy	Genus	Schizophyllum	Cutadapt	PE	1	1	1	1607	1.2109566331336423	1.2109566331336423	334	334	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Schizophyllum	Cutadapt	SE	1	1	1	1615	1.2007792053295265	1.2007792053295265	228	228	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Schizophyllum	ITSxpress	PE	1	1	1	1604	2.6390259953932214	2.6390259953932214	239	239	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Schizophyllum	ITSxpress	SE	1	1	1	1612	2.6477013287781483	2.6477013287781483	173	173	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Schizoporaceae_f	Cutadapt	SE	1	1	1	2274	1.6907566024268381	1.6907566024268381	228	228	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Sistotremastrum	Cutadapt	PE	1	1	1	1582	1.192117855393542	1.192117855393542	290	290	100	100	290	100	100	100	0
DNeasy	Genus	Sistotremastrum	Cutadapt	SE	1	1	1	1584	1.177730192719486	1.177730192719486	227	227	100	100	227	100	100	100	0
DNeasy	Genus	Sistotremastrum	ITSxpress	PE	1	1	1	1583	2.6044751563014152	2.6044751563014152	195	195	100	100	195	100	100	100	0
DNeasy	Genus	Sistotremastrum	ITSxpress	SE	1	1	1	1584	2.601711479394905	2.601711479394905	172	172	100	100	172	100	100	100	0
DNeasy	Genus	Sporobolomyces	Cutadapt	PE	1	1	1	1040	0.7836931539881693	0.7836931539881693	299	299	NA	NA	NA	100	100	0	NA
DNeasy	Genus	Sporobolomyces	Cutadapt	SE	1	1	1	1041	0.7740007137758744	0.7740007137758744	228	228	100	100	228	100	100	100	0
DNeasy	Genus	Sporobolomyces	ITSxpress	PE	1	1	1	1037	1.7061533399144453	1.7061533399144453	199	199	99.497	100	199	100	100	100	0
DNeasy	Genus	Sporobolomyces	ITSxpress	SE	1	1	1	1038	1.7049094164216614	1.7049094164216614	173	173	100	100	173	100	100	100	0
DNeasy	Genus	Stereaceae_f	Cutadapt	PE	1	1	1	2433	1.8333898496665537	1.8333898496665537	300	300	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Stereaceae_f	Cutadapt	SE	1	1	1	2442	1.815667380442541	1.815667380442541	228	228	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Stereaceae_f	ITSxpress	PE	1	1	1	2425	3.9897992760776573	3.9897992760776573	205	205	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Stereaceae_f	ITSxpress	SE	1	1	1	2426	3.9846919501338633	3.9846919501338633	173	173	NA	NA	NA	0	0	0	NA
DNeasy	Genus	Suillus	Cutadapt	PE	1	1	1	699	0.5267322256132022	0.5267322256132022	330	330	NA	NA	NA	100	100	0	NA
