DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
DNeasy	SE	Genus	Bjerkandera	TRUE	TRUE	Shared
DNeasy	SE	Genus	Bullera	TRUE	TRUE	Shared
DNeasy	SE	Genus	Ceratobasidiaceae_f	TRUE	TRUE	Shared
DNeasy	SE	Genus	Ceriporia	TRUE	TRUE	Shared
DNeasy	SE	Genus	Cladosporium	TRUE	TRUE	Shared
DNeasy	SE	Genus	Coprinopsis	TRUE	TRUE	Shared
DNeasy	SE	Genus	Dentipellis	TRUE	FALSE	Cutadapt only
DNeasy	SE	Genus	Fungi_k	TRUE	TRUE	Shared
DNeasy	SE	Genus	Hericiaceae_f	FALSE	TRUE	ITSxpress only
DNeasy	SE	Genus	Hymenochaetopsis	TRUE	TRUE	Shared
DNeasy	SE	Genus	Irpex	TRUE	TRUE	Shared
DNeasy	SE	Genus	Kazachstania	TRUE	TRUE	Shared
DNeasy	SE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
DNeasy	SE	Genus	Leucosporidium	TRUE	TRUE	Shared
DNeasy	SE	Genus	Mucor	TRUE	TRUE	Shared
DNeasy	SE	Genus	Penicillium	TRUE	TRUE	Shared
DNeasy	SE	Genus	Peniophoraceae_f	TRUE	TRUE	Shared
DNeasy	SE	Genus	Phanerochaete	TRUE	TRUE	Shared
DNeasy	SE	Genus	Phlebiopsis	TRUE	TRUE	Shared
DNeasy	SE	Genus	Pleosporales_o	TRUE	TRUE	Shared
DNeasy	SE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only
DNeasy	SE	Genus	Sarocladium	TRUE	TRUE	Shared
DNeasy	SE	Genus	Schizophyllum	TRUE	TRUE	Shared
DNeasy	SE	Genus	Schizoporaceae_f	TRUE	FALSE	Cutadapt only
DNeasy	SE	Genus	Sistotremastrum	TRUE	TRUE	Shared
DNeasy	SE	Genus	Sporobolomyces	TRUE	TRUE	Shared
DNeasy	SE	Genus	Stereaceae_f	TRUE	TRUE	Shared
DNeasy	SE	Genus	Suillus	TRUE	TRUE	Shared
DNeasy	SE	Genus	Trametes	TRUE	TRUE	Shared
DNeasy	SE	Genus	Udeniomyces	TRUE	TRUE	Shared
DNeasy	SE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Aspergillus_candidus	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Aspergillus_neotritici	FALSE	TRUE	ITSxpress only
DNeasy	SE	Species	Aspergillus_niger	TRUE	TRUE	Shared
DNeasy	SE	Species	Atheliales_o	TRUE	TRUE	Shared
DNeasy	SE	Species	Bjerkandera_adusta	TRUE	TRUE	Shared
DNeasy	SE	Species	Bullera_alba	TRUE	TRUE	Shared
DNeasy	SE	Species	Ceratobasidiaceae_f	TRUE	TRUE	Shared
DNeasy	SE	Species	Ceriporia_nanlingensis	TRUE	TRUE	Shared
DNeasy	SE	Species	Cladosporium_angustisporum	TRUE	TRUE	Shared
DNeasy	SE	Species	Cladosporium_herbarum	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Coprinopsis_g	TRUE	TRUE	Shared
DNeasy	SE	Species	Dentipellis_fragilis	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Fungi_k	TRUE	TRUE	Shared
DNeasy	SE	Species	Hericiaceae_f	FALSE	TRUE	ITSxpress only
DNeasy	SE	Species	Hymenochaetopsis_yasudae	TRUE	TRUE	Shared
DNeasy	SE	Species	Irpex_hacksungii	TRUE	TRUE	Shared
DNeasy	SE	Species	Irpex_laceratus	TRUE	TRUE	Shared
DNeasy	SE	Species	Kazachstania_servazzii	TRUE	TRUE	Shared
DNeasy	SE	Species	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Leucosporidium_intermedium	TRUE	TRUE	Shared
DNeasy	SE	Species	Mucor_circinelloides	TRUE	TRUE	Shared
DNeasy	SE	Species	Penicillium_cuddlyae	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Penicillium_patris-mei	TRUE	TRUE	Shared
DNeasy	SE	Species	Penicillium_sclerotiorum	TRUE	TRUE	Shared
DNeasy	SE	Species	Penicillium_sumatraense	TRUE	TRUE	Shared
DNeasy	SE	Species	Peniophoraceae_f	TRUE	TRUE	Shared
DNeasy	SE	Species	Phanerochaete_livescens	TRUE	TRUE	Shared
DNeasy	SE	Species	Phlebiopsis_g	TRUE	TRUE	Shared
DNeasy	SE	Species	Pleosporales_o	TRUE	TRUE	Shared
DNeasy	SE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Sarocladium_zeae	TRUE	TRUE	Shared
DNeasy	SE	Species	Schizophyllum_commune	TRUE	TRUE	Shared
DNeasy	SE	Species	Schizoporaceae_f	TRUE	FALSE	Cutadapt only
DNeasy	SE	Species	Sistotremastrum_guttuliferum	TRUE	TRUE	Shared
DNeasy	SE	Species	Sporobolomyces_carnicolor	TRUE	TRUE	Shared
DNeasy	SE	Species	Stereaceae_f	TRUE	TRUE	Shared
DNeasy	SE	Species	Suillus_g	TRUE	TRUE	Shared
DNeasy	SE	Species	Trametes_hirsuta	TRUE	TRUE	Shared
DNeasy	SE	Species	Udeniomyces_pyricola	TRUE	TRUE	Shared
QIAamp	PE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only
QIAamp	PE	Genus	Aspergillus	TRUE	TRUE	Shared
QIAamp	PE	Genus	Aureobasidium	TRUE	TRUE	Shared
QIAamp	PE	Genus	Biscogniauxia	TRUE	TRUE	Shared
QIAamp	PE	Genus	Bjerkandera	TRUE	TRUE	Shared
QIAamp	PE	Genus	Burgoa	TRUE	TRUE	Shared
QIAamp	PE	Genus	Candida	TRUE	TRUE	Shared
QIAamp	PE	Genus	Candolleomyces	TRUE	TRUE	Shared
QIAamp	PE	Genus	Ceriporia	TRUE	TRUE	Shared
QIAamp	PE	Genus	Cladosporium	TRUE	TRUE	Shared
QIAamp	PE	Genus	Crepidotus	TRUE	TRUE	Shared
QIAamp	PE	Genus	Cystobasidium	TRUE	TRUE	Shared
QIAamp	PE	Genus	Daedaleopsis	TRUE	TRUE	Shared
QIAamp	PE	Genus	Debaryomyces	TRUE	TRUE	Shared
QIAamp	PE	Genus	Didymellaceae_f	TRUE	FALSE	Cutadapt only
QIAamp	PE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only
QIAamp	PE	Genus	Fungi_k	TRUE	TRUE	Shared
QIAamp	PE	Genus	Fuscoporia	TRUE	TRUE	Shared
QIAamp	PE	Genus	Helotiales_o	TRUE	TRUE	Shared
QIAamp	PE	Genus	Irpex	TRUE	TRUE	Shared
QIAamp	PE	Genus	Kazachstania	TRUE	TRUE	Shared
QIAamp	PE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only
QIAamp	PE	Genus	Malassezia	TRUE	TRUE	Shared
QIAamp	PE	Genus	Mucor	TRUE	TRUE	Shared
QIAamp	PE	Genus	Neodidymella	TRUE	TRUE	Shared
QIAamp	PE	Genus	Ophiognomonia	TRUE	TRUE	Shared
QIAamp	PE	Genus	Paragibellulopsis	TRUE	TRUE	Shared
QIAamp	PE	Genus	Penicillium	TRUE	TRUE	Shared
QIAamp	PE	Genus	Peniophoraceae_f	TRUE	TRUE	Shared
QIAamp	PE	Genus	Plagiostoma	TRUE	FALSE	Cutadapt only
QIAamp	PE	Genus	Polyporales_o	TRUE	TRUE	Shared
QIAamp	PE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only
QIAamp	PE	Genus	Rhodotorula	TRUE	TRUE	Shared
QIAamp	PE	Genus	Schizophyllum	TRUE	TRUE	Shared
QIAamp	PE	Genus	Sporobolomyces	TRUE	TRUE	Shared
QIAamp	PE	Genus	Steccherinum	TRUE	TRUE	Shared
