Variable	IncMSE	outcome
DNA_kit	-1.001802701325597	R²
BLAST	-1.8314706689495739	R²
Paired	-7.066761885781771	R²
Trimm	20.518577396066245	R²
DNA_kit	-3.826504843732835	F1-score
BLAST	-3.302866482496235	F1-score
Paired	2.940381685532116	F1-score
Trimm	20.573763974461365	F1-score
