DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set	Trimm	qiime_resolution	total_reads
QIAamp	PE	Species	Cladosporium_colocasiae	FALSE	TRUE	ITSxpress only	ITSxpress	Order	1552
QIAamp	PE	Species	Cladosporium_colombiae	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	5011
QIAamp	PE	Species	Cladosporium_ossifragi	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	63
QIAamp	PE	Species	Cladosporium_tenuissimum	TRUE	FALSE	Cutadapt only	Cutadapt	Class	1517
QIAamp	PE	Species	Didymellaceae_f	TRUE	FALSE	Cutadapt only	Cutadapt	Family	147
QIAamp	PE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	80
QIAamp	PE	Species	Irpex_g	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	2800
QIAamp	PE	Species	Irpex_hacksungii	FALSE	TRUE	ITSxpress only	ITSxpress	Species	9986
QIAamp	PE	Species	Irpex_hydnoides	TRUE	FALSE	Cutadapt only	Cutadapt	Species	10002
QIAamp	PE	Species	Irpex_laceratus	TRUE	FALSE	Cutadapt only	Cutadapt	Species	2802
QIAamp	PE	Species	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	100
QIAamp	PE	Species	Mucor_g	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	1292
QIAamp	PE	Species	Mucor_nidicola	FALSE	TRUE	ITSxpress only	ITSxpress	Species	1291
QIAamp	PE	Species	Ophiognomonia_g	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	2293
QIAamp	PE	Species	Ophiognomonia_pseudoischnostyla	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	2355
QIAamp	PE	Species	Penicillium_brevicompactum	TRUE	FALSE	Cutadapt only	Cutadapt	Species	953
QIAamp	PE	Species	Penicillium_citrinum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	901
QIAamp	PE	Species	Penicillium_g	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	908
QIAamp	PE	Species	Penicillium_patris-mei	FALSE	TRUE	ITSxpress only	ITSxpress	Species	954
QIAamp	PE	Species	Plagiostoma_g	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	65
QIAamp	PE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only	Cutadapt	Species	5
QIAamp	PE	Species	Sporobolomyces_phaffii	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	1794
QIAamp	PE	Species	Sporobolomyces_ruberrimus	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	1800
QIAamp	PE	Species	Talaromyces_g	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	844
QIAamp	PE	Species	Talaromyces_purgamentorum	TRUE	FALSE	Cutadapt only	Cutadapt	Species	841
QIAamp	SE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	52061
QIAamp	SE	Genus	Boeremia	TRUE	FALSE	Cutadapt only	Cutadapt	Family	80
QIAamp	SE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	83
QIAamp	SE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	20
QIAamp	SE	Genus	Metschnikowia	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	8
QIAamp	SE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only	Cutadapt	Species	5
QIAamp	SE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	52061
QIAamp	SE	Species	Aspergillus_cibarius	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	3132
QIAamp	SE	Species	Aspergillus_ruber	FALSE	TRUE	ITSxpress only	ITSxpress	Species	3113
QIAamp	SE	Species	Boeremia_lycopersici	TRUE	FALSE	Cutadapt only	Cutadapt	Family	80
QIAamp	SE	Species	Cladosporium_herbarum	TRUE	FALSE	Cutadapt only	Cutadapt	Species	2271
QIAamp	SE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	83
QIAamp	SE	Species	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	20
QIAamp	SE	Species	Metschnikowia_g	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	8
QIAamp	SE	Species	Ophiognomonia_asiatica	TRUE	FALSE	Cutadapt only	Cutadapt	Species	2358
QIAamp	SE	Species	Ophiognomonia_pseudoischnostyla	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	2355
QIAamp	SE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only	Cutadapt	Species	5
QIAamp	SE	Species	Talaromyces_adpressus	TRUE	FALSE	Cutadapt only	Cutadapt	Genus	854
QIAamp	SE	Species	Talaromyces_g	FALSE	TRUE	ITSxpress only	ITSxpress	Genus	848
Zymo	PE	Genus	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	59231
Zymo	PE	Genus	Didymellaceae_f	TRUE	FALSE	Cutadapt only	Cutadapt	Family	137
Zymo	PE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	137
Zymo	PE	Genus	Fungi_k	TRUE	FALSE	Cutadapt only	Cutadapt	Kingdom	7779
Zymo	PE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	439
Zymo	PE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	64
Zymo	PE	Species	Ascomycota_p	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	59231
Zymo	PE	Species	Cladosporium_angustisporum	FALSE	TRUE	ITSxpress only	ITSxpress	Phylum	1426
Zymo	PE	Species	Cladosporium_colombiae	TRUE	FALSE	Cutadapt only	Cutadapt	Phylum	1403
Zymo	PE	Species	Didymellaceae_f	TRUE	FALSE	Cutadapt only	Cutadapt	Family	137
Zymo	PE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	137
Zymo	PE	Species	Fungi_k	TRUE	FALSE	Cutadapt only	Cutadapt	Kingdom	7779
Zymo	PE	Species	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	439
Zymo	PE	Species	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	64
Zymo	PE	Species	Penicillium_brevicompactum	TRUE	FALSE	Cutadapt only	Cutadapt	Species	1732
Zymo	PE	Species	Penicillium_patris-mei	FALSE	TRUE	ITSxpress only	ITSxpress	Species	1726
Zymo	SE	Genus	Boeremia	TRUE	FALSE	Cutadapt only	Cutadapt	Family	138
Zymo	SE	Genus	Epicoccum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	137
Zymo	SE	Genus	Fungi_k	TRUE	FALSE	Cutadapt only	Cutadapt	Kingdom	20801
Zymo	SE	Genus	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	2
Zymo	SE	Genus	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	7
Zymo	SE	Genus	Rhizoplaca	TRUE	FALSE	Cutadapt only	Cutadapt	Species	170
Zymo	SE	Species	Boeremia_lycopersici	TRUE	FALSE	Cutadapt only	Cutadapt	Family	138
Zymo	SE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only	ITSxpress	Species	137
Zymo	SE	Species	Fungi_k	TRUE	FALSE	Cutadapt only	Cutadapt	Kingdom	20801
Zymo	SE	Species	Lecanorales_o	TRUE	FALSE	Cutadapt only	Cutadapt	Order	2
Zymo	SE	Species	Lecanoromycetes_c	TRUE	FALSE	Cutadapt only	Cutadapt	Class	7
Zymo	SE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only	Cutadapt	Species	170
