taxon_for_compare	Trimm	Paired	n_asv	n_sequence	total_reads	median_sequence_length	min_sequence_length	max_sequence_length	median_blast_pident	median_blast_qcovus	pct_qiime_species_classified_asv	pct_qiime_phylum_or_higher_asv
Coprinopsis_g	Cutadapt	SE	1	1	891	228	228	228	NA	NA	0	0
Coprinopsis_g	ITSxpress	PE	1	1	887	211	211	211	NA	NA	0	0
Coprinopsis_g	ITSxpress	SE	1	1	887	173	173	173	NA	NA	0	0
Coprinopsis_urticicola	Cutadapt	PE	1	1	890	306	306	306	NA	NA	100	0
Crepidotus_g	Cutadapt	PE	1	1	1587	320	320	320	NA	NA	0	0
Crepidotus_g	Cutadapt	SE	1	1	1593	228	228	228	NA	NA	0	0
Crepidotus_g	ITSxpress	PE	1	1	1581	225	225	225	NA	NA	0	0
Crepidotus_g	ITSxpress	SE	1	1	1584	173	173	173	NA	NA	0	0
Cutaneotrichosporon_debeurmannianum	Cutadapt	PE	3	3	11038	280	280	280	99.643	100	100	0
Cutaneotrichosporon_debeurmannianum	Cutadapt	SE	1	1	11100	228	228	228	100	100	100	0
Cutaneotrichosporon_debeurmannianum	ITSxpress	PE	1	1	11035	165	165	165	100	100	100	0
Cutaneotrichosporon_debeurmannianum	ITSxpress	SE	1	1	11042	165	165	165	100	100	100	0
Cystobasidium_slooffiae	Cutadapt	PE	2	2	1464	297	297	297	99.495	100	100	0
Cystobasidium_slooffiae	Cutadapt	SE	1	1	1467	228	228	228	99.561	100	100	0
Cystobasidium_slooffiae	ITSxpress	PE	1	1	1462	202	202	202	99.505	100	100	0
Cystobasidium_slooffiae	ITSxpress	SE	1	1	1462	173	173	173	99.422	100	100	0
Daedaleopsis_confragosa	Cutadapt	PE	1	1	1902	297	297	297	NA	NA	100	0
Daedaleopsis_confragosa	Cutadapt	SE	1	1	1909	228	228	228	NA	NA	100	0
Daedaleopsis_confragosa	ITSxpress	PE	1	1	1895	202	202	202	NA	NA	100	0
Daedaleopsis_confragosa	ITSxpress	SE	1	1	1898	173	173	173	NA	NA	100	0
Debaryomyces_delbrueckii	Cutadapt	PE	2	2	5386	352	352	352	99.858	100	100	0
Debaryomyces_delbrueckii	Cutadapt	SE	2	2	5409	228	228	228	99.7805	100	100	0
Debaryomyces_delbrueckii	ITSxpress	PE	2	2	5370	257	257	257	99.8055	100	100	0
Debaryomyces_delbrueckii	ITSxpress	SE	2	2	5376	173	173	173	99.711	100	100	0
Dentipellis_fragilis	Cutadapt	SE	1	1	1998	228	228	228	NA	NA	100	0
Didymellaceae_f	Cutadapt	PE	2	2	284	275	270	280	NA	NA	0	0
Epicoccum_pimprinum	ITSxpress	PE	1	1	217	154	154	154	100	100	100	0
Epicoccum_pimprinum	ITSxpress	SE	1	1	220	154	154	154	100	100	100	0
Fungi_k	Cutadapt	PE	94	94	54581	296	70	546	NA	NA	0	100
Fungi_k	Cutadapt	SE	141	141	62614	301	68	301	NA	NA	0	100
Fungi_k	ITSxpress	PE	4	4	4862	227.5	202	290	NA	NA	0	100
Fungi_k	ITSxpress	SE	4	4	4864	173	172	174	NA	NA	0	100
Fuscoporia_karsteniana	Cutadapt	PE	1	1	980	317	317	317	NA	NA	100	0
Fuscoporia_karsteniana	Cutadapt	SE	1	1	983	228	228	228	100	100	100	0
Fuscoporia_karsteniana	ITSxpress	PE	1	1	973	222	222	222	100	100	100	0
Fuscoporia_karsteniana	ITSxpress	SE	1	1	974	173	173	173	100	100	100	0
Helotiales_o	Cutadapt	PE	2	2	850	270.5	260	281	NA	NA	0	0
Helotiales_o	Cutadapt	SE	1	1	853	228	228	228	NA	NA	0	0
Helotiales_o	ITSxpress	PE	1	1	851	146	146	146	NA	NA	0	0
Helotiales_o	ITSxpress	SE	1	1	852	146	146	146	NA	NA	0	0
Hericiaceae_f	Cutadapt	PE	1	1	1988	306	306	306	NA	NA	0	0
Hericiaceae_f	ITSxpress	PE	1	1	1984	211	211	211	NA	NA	0	0
Hericiaceae_f	ITSxpress	SE	1	1	1989	173	173	173	NA	NA	0	0
Hydnaceae_f	Cutadapt	SE	1	1	374	228	228	228	NA	NA	0	0
Hydnaceae_f	ITSxpress	SE	1	1	374	173	173	173	NA	NA	0	0
Hydnoporia_yasudae	Cutadapt	PE	1	1	1775	301	301	301	NA	NA	100	0
Hymenochaetopsis_yasudae	Cutadapt	SE	1	1	1785	228	228	228	NA	NA	100	0
