run_id	sample_id	DNA_kit	replicate	matrix_type	pipeline	preprocess_method	read_strategy	taxonomy_method	BLAST	Paired	Trimm	Method	method_id	taxonomic_rank	taxon	count	total_reads	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Ceratobasidium	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Ceriporia	1114	132705	0.008394559360988658
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cladosporium	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Clitopilus	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Coniothyrium	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Coprinellus	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Coprinopsis	890	132705	0.0067066048754756795
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Crepidotus	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cryptococcus	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cutaneotrichosporon	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cylindrotrichum	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cystobasidium	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Cystofilobasidium	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Daedaleopsis	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Debaryomyces	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Dentipellis	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Diatrypaceae_f	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Didymellaceae_f	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Dipodascaceae_f	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Dissoconium	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Dothideomycetes_c	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Epicoccum	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Exidia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Fungi_k	18355	132705	0.13831430616781584
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Fusarium	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Fuscoporia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Gnomoniaceae_f	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hannaella	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Helotiales_o	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hericiaceae_f	1988	132705	0.014980596058927697
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hydnaceae_f	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hydnoporia	1775	132705	0.013375532195471157
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hymenochaete	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hymenochaetopsis	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hyphoderma	0	0	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Hyphodontia	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Irpex	11204	132705	0.08442786632003316
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Irpicaceae_f	0	132705	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Kazachstania	165	132705	0.0012433593308466147
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	STD	DNeasy	NA	stool	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Cutadapt_PE	UNITE__Cutadapt_PE	Genus	Komagataella	0	132705	0
