feature_id	taxonomy_method	Genus	Species	taxon_string	run_id	preprocess_method	read_strategy	Paired	Trimm
e42387237c012c1ed92a8c7f9dd2e2eb	UNITE	Stereaceae_f	Stereaceae_f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Stereaceae; g__Stereaceae_f; s__Stereaceae_f	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
921f876dd61c8fdd639a56fbb16d7b6c	UNITE	Didymellaceae_f	Didymellaceae_f	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymellaceae_f; s__Didymellaceae_f	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
f1c57273935879d23965899d63727f74	UNITE	Aspergillus	Aspergillus_ruber	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_ruber	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
98906e38db8e05a595f3c0efb3021003	UNITE	Penicillium	Penicillium_patris-mei	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_patris-mei	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
558f634792c8b5cee619778f270e8ee0	UNITE	Saccharomyces	Saccharomyces_cerevisiae	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
37d4a335bf1d51f01582d9471a112681	UNITE	Bjerkandera	Bjerkandera_adusta	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Bjerkandera; s__Bjerkandera_adusta	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
f806a2396402eab6244a8d52e08a9f7e	UNITE	Mucor	Mucor_circinelloides	k__Fungi; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Mucoraceae; g__Mucor; s__Mucor_circinelloides	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
02d4c47b6b2f2c61e8e6fb701b5f4dea	UNITE	Bullera	Bullera_alba	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleraceae; g__Bullera; s__Bullera_alba	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2bffa5bd228042e3fc0e3f30f48c6c13	UNITE	Candolleomyces	Candolleomyces_subminutisporus	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Candolleomyces; s__Candolleomyces_subminutisporus	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
7904340b100395ea12dbea044726ee08	UNITE	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
4fe0a80f8c4b0a6cfc9a15c0926fd3f1	UNITE	Ophiognomonia	Unclassified	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Gnomoniaceae; g__Ophiognomonia; s__Ophiognomonia_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
4f0eeafcb9177222412728e3822743a3	UNITE	Irpex	Irpex_hacksungii	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_hacksungii	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
f4d47d9e9f949ba9f162bbf4faea2866	UNITE	Fungi_k	Fungi_k	k__Fungi; p__Fungi_k; c__Fungi_k; o__Fungi_k; f__Fungi_k; g__Fungi_k; s__Fungi_k	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
db0a45e1bb8405ca1fe091daa37fd2ec	UNITE	Peniophoraceae_f	Peniophoraceae_f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophoraceae_f; s__Peniophoraceae_f	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
b2c6907b3db766724d2335436d7e33f4	UNITE	Peniophoraceae_f	Peniophoraceae_f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophoraceae_f; s__Peniophoraceae_f	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
0ad03262fa2155cc0cae6071e227df84	UNITE	Hericiaceae_f	Hericiaceae_f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Hericiaceae; g__Hericiaceae_f; s__Hericiaceae_f	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
3f4c30d9dbda2e4629b7ba6a41354eb0	UNITE	Trametes	Trametes_pubescens	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Trametes; s__Trametes_pubescens	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
d2e25b6611bfc517eb12d22c4f1f0ac0	UNITE	Irpex	Irpex_laceratus	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_laceratus	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
f9bc2c7d2647a3b4e63ca4b721021da9	UNITE	Daedaleopsis	Daedaleopsis_confragosa	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Daedaleopsis; s__Daedaleopsis_confragosa	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
ff0b3c0f2f9029863279aaec209a64b5	UNITE	Tilletiopsis	Tilletiopsis_washingtonensis	k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Entylomatales; f__Entylomataceae; g__Tilletiopsis; s__Tilletiopsis_washingtonensis	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
7bb64ea8b4df8344319d79a47d3a8afa	UNITE	Phanerochaete	Phanerochaete_livescens	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Phanerochaete; s__Phanerochaete_livescens	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
17586e36e8ab48f597210c14bb4b14a1	UNITE	Sporobolomyces	Unclassified	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Sporobolomyces; s__Sporobolomyces_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
e10697f67b5d8c5ca3d33e56594068bf	UNITE	Rhizoplaca	Rhizoplaca_novomexicana	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Lecanoraceae; g__Rhizoplaca; s__Rhizoplaca_novomexicana	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
6cf8e6273ab065c307d3712ac2dbfe1d	UNITE	Hymenochaetopsis	Hymenochaetopsis_yasudae	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae; g__Hymenochaetopsis; s__Hymenochaetopsis_yasudae	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
44289e0d4bb76d7dc0006d54ac820fc1	UNITE	Irpex	Unclassified	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
6a018acae919ab5f0ca6dbedcb3ed281	UNITE	Polyporales_o	Polyporales_o	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporales_o; g__Polyporales_o; s__Polyporales_o	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
77aef54800f91d2294bac5b9a9010594	UNITE	Malassezia	Malassezia_sympodialis	k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia_sympodialis	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
6b772c4a25b6812808e7bf2169afb415	UNITE	Schizophyllum	Schizophyllum_commune	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Schizophyllaceae; g__Schizophyllum; s__Schizophyllum_commune	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2f9d7e8bea9501d87407a5e5a59bf89b	UNITE	Pleosporales_o	Pleosporales_o	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_o; g__Pleosporales_o; s__Pleosporales_o	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
aa449544b742da7c9fbfa39c0d3849fe	UNITE	Sistotremastrum	Sistotremastrum_guttuliferum	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Sistotremastrum; s__Sistotremastrum_guttuliferum	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2b12210b988a471a2a2e6a89aee198f1	UNITE	Crepidotus	Unclassified	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Crepidotaceae; g__Crepidotus; s__Crepidotus_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
c4882dc60b49c95b93e46ef6e32dfc12	UNITE	Pleosporales_o	Pleosporales_o	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_o; g__Pleosporales_o; s__Pleosporales_o	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2aa87d0ebccf12b39baf51d91e447b2d	UNITE	Thanatephorus	Unclassified	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Thanatephorus; s__Thanatephorus_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
b51e89e740a3b7d99fc2112e7b30bc00	UNITE	Rhizoplaca	Rhizoplaca_novomexicana	k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanorales; f__Lecanoraceae; g__Rhizoplaca; s__Rhizoplaca_novomexicana	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2a03599d48e1a5883a372e8a8261d445	UNITE	Paragibellulopsis	Paragibellulopsis_chrysanthemi	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Paragibellulopsis; s__Paragibellulopsis_chrysanthemi	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
590e0069dcd5441f47684045349cd9c2	UNITE	Cystobasidium	Cystobasidium_slooffiae	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium; s__Cystobasidium_slooffiae	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
f73a1a510817fc733ace7a6a70e7394e	UNITE	Irpex	Irpex_hacksungii	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Irpicaceae; g__Irpex; s__Irpex_hacksungii	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
ee606ee0d5d5f1f998149031ddfd45fc	UNITE	Phlebiopsis	Unclassified	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Phanerochaetaceae; g__Phlebiopsis; s__Phlebiopsis_g	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
69d7a7d7c05039ce3b5be70ffacc089f	UNITE	Biscogniauxia	Biscogniauxia_atropunctata	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Graphostromataceae; g__Biscogniauxia; s__Biscogniauxia_atropunctata	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
ef7cf9848db5544fe03fb7d411336533	UNITE	Candida	Candida_dubliniensis	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_dubliniensis	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
206ac16e519bcdd9dd9f8a782ddfd8df	UNITE	Schizophyllum	Schizophyllum_commune	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Schizophyllaceae; g__Schizophyllum; s__Schizophyllum_commune	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
da93059e7d874e588773916cbcb5cebf	UNITE	Udeniomyces	Udeniomyces_pyricola	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Udeniomyces; s__Udeniomyces_pyricola	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
8e98c860323a68e9904cf3320be00300	UNITE	Mucor	Mucor_nidicola	k__Fungi; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Mucoraceae; g__Mucor; s__Mucor_nidicola	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
5c3158d98ae7185c37026511e5dbdb2c	UNITE	Penicillium	Penicillium_sclerotiorum	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_sclerotiorum	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
2e3204476045187561769297cb5deb63	UNITE	Steccherinum	Steccherinum_tenuissimum	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Steccherinaceae; g__Steccherinum; s__Steccherinum_tenuissimum	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
ae02184daf687a68ede894e742c6be8e	UNITE	Xylodon	Xylodon_flaviporus	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Schizoporaceae; g__Xylodon; s__Xylodon_flaviporus	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
84b9d21cc143333232f36f500ea60299	UNITE	Atheliales_o	Atheliales_o	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliales_o; g__Atheliales_o; s__Atheliales_o	fig4_q30_PE_itsxpress_unite_blast_top1_rescue	ITSxpress	PE	PE	ITSxpress
