run_id	sample_id	DNA_kit	replicate	matrix_type	pipeline	preprocess_method	read_strategy	taxonomy_method	BLAST	Paired	Trimm	taxonomic_rank	TP	FP	FN	precision	recall	F1	false_discovery_rate	Bray_Curtis	R2	detection_threshold	Method
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4D	DNeasy	4	mock_only	ITSdetector	Cutadapt	PE	UNITE+RefSeq BLAST	NA	PE	Cutadapt	Species	8	6	2	0.5714285714285714	0.8	0.6666666666666666	0.42857142857142855	0.5048783198133127	0.2884901348541718	count_gt_0	Cutadapt_PE
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Q	QIAamp	4	mock_only	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Species	5	5	5	0.5	0.5	0.5	0.5	0.623893725166125	0.17310931349248912	count_gt_0	Cutadapt_PE
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Q	QIAamp	4	mock_only	ITSdetector	Cutadapt	PE	UNITE+RefSeq BLAST	NA	PE	Cutadapt	Species	8	5	2	0.6153846153846154	0.8	0.6956521739130435	0.38461538461538464	0.5216070276328151	0.2632481357775368	count_gt_0	Cutadapt_PE
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Z	Zymo	4	mock_only	ITSdetector	Cutadapt	PE	UNITE	No_BLAST	PE	Cutadapt	Species	5	5	5	0.5	0.5	0.5	0.5	0.6242079673017132	0.17975681178324182	count_gt_0	Cutadapt_PE
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	4Z	Zymo	4	mock_only	ITSdetector	Cutadapt	PE	UNITE+RefSeq BLAST	NA	PE	Cutadapt	Species	8	6	2	0.5714285714285714	0.8	0.6666666666666666	0.42857142857142855	0.5220190417154977	0.26149915697961046	count_gt_0	Cutadapt_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	5	5	0.5	0.5	0.5	0.5	0.6038734006146869	0.1902228119024086	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	8	3	2	0.7272727272727273	0.8	0.761904761904762	0.2727272727272727	0.5019007345728796	0.2927442351217883	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	6	5	0.45454545454545453	0.5	0.47619047619047616	0.5454545454545454	0.6245744295545093	0.1940867368999815	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	8	5	2	0.6153846153846154	0.8	0.6956521739130435	0.38461538461538464	0.5227843869278131	0.2936443734899389	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	6	5	4	0.5454545454545454	0.6	0.5714285714285713	0.45454545454545453	0.6302613853528125	0.1562825917437343	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	ITSdetector	ITSxpress	PE	UNITE+RefSeq BLAST	NA	PE	ITSxpress	Species	9	2	1	0.8181818181818182	0.9	0.8571428571428572	0.18181818181818182	0.5285905241282801	0.24971210053785062	count_gt_0	ITSx_PE
fig4_q30_PE_itsxpress_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	ITSdetector	ITSxpress	PE	UNITE	No_BLAST	PE	ITSxpress	Species	5	6	5	0.45454545454545453	0.5	0.47619047619047616	0.5454545454545454	0.6046100764131004	0.1987186227484438	count_gt_0	ITSx_PE
