Metric	Value
total_asvs	458
reconcile_mode	high_confidence_species
species_min_pident	99.0
species_min_qcovus	99.0
species_max_evalue	1e-10
blast_species_replaced_high_confidence	69
qiime_retained_ambiguous_blast	32
qiime_retained_blast_cutoff_fail	9
qiime_retained_no_blast_species	348
blast_cutoff_pass	96
blast_genus_match	76
