Metric	Value
total_asvs	447
reconcile_mode	species_missing_top1_rescue
species_min_pident	99.0
species_min_qcovus	99.0
species_max_evalue	1e-10
blast_top1_species_rescued_ambiguous_missing_qiime_species	19
blast_top1_species_rescued_missing_qiime_species	14
qiime_retained_no_blast_species	353
qiime_retained_resolved_species	61
blast_cutoff_pass	94
blast_genus_match	66
